# Source: crimson cell-8 trace in Fig. 8A of Kochanczyk et al. (2017), Sci Rep 7:38244
# Cell 8 is the cell whose EGFR expression burst schedule is hard-coded in
# Supplementary Data S3 and reproduced by
# mapk_relaxation_oscillations_kochanczyk2017_noisy_egfr.bngl
# Render: open-access article PDF page 9 at 400 dpi
# Axis calibration: panel A plot box, x=0..72 h and y=0..2e6 EGFR molecules,
#   both labelled at the frame corners
# Extraction: crimson pixels (R>120, R-G>45, B-G>15, R-B>25) inside the plot box,
#   legend block excluded, one sample per pixel column (about 2.4 min apart),
#   value taken as the column centroid of the trace
# Occlusion: 143 of 1823 columns carry no crimson pixel because the cell-12 or
#   cell-15 trace is drawn over cell 8 there; those columns are omitted rather
#   than interpolated
# Calibration check: the first digitized sample reads 170029 molecules against the
#   model's exact seed value of 168950 (0.6% high)
time_h,time_s,EGFR_total_molecules
1.7783,6401.8,167147.0
1.8178,6544.0,170028.8
1.8573,6686.3,175792.5
1.8968,6828.5,178674.4
1.9363,6970.8,181556.2
1.9759,7113.1,187319.9
2.0154,7255.3,190201.7
2.0549,7397.6,193083.6
2.0944,7539.8,198847.3
2.1339,7682.1,198847.3
2.1734,7824.4,201729.1
2.2130,7966.6,204611.0
2.2525,8108.9,204611.0
2.3315,8393.4,233429.4
2.3710,8535.7,233429.4
2.4105,8677.9,230547.6
2.4501,8820.2,242074.9
2.4896,8962.5,253602.3
2.5291,9104.7,268011.5
2.5686,9247.0,270893.4
2.6081,9389.2,276657.1
2.6476,9531.5,285302.6
2.6872,9673.8,293948.1
2.7267,9816.0,302593.7
2.7662,9958.3,311239.2
2.8057,10100.5,319884.7
2.8452,10242.8,325648.4
2.8847,10385.1,340057.6
2.9243,10527.3,348703.2
2.9638,10669.6,360230.5
3.0033,10811.9,371757.9
3.0428,10954.1,386167.1
3.0823,11096.4,397694.5
3.1218,11238.6,409221.9
3.1614,11380.9,420749.3
3.2009,11523.2,429394.8
3.2404,11665.4,440922.2
3.2799,11807.7,446685.9
3.3194,11949.9,455331.4
3.3589,12092.2,463976.9
3.3985,12234.5,469740.6
3.4380,12376.7,478386.2
3.4775,12519.0,487031.7
3.5170,12661.3,492795.4
3.5565,12803.5,501440.9
3.5960,12945.8,504322.8
3.6356,13088.0,510086.5
3.6751,13230.3,510086.5
3.7146,13372.6,515850.1
3.7541,13514.8,515850.1
3.7936,13657.1,515850.1
3.8332,13799.3,521613.8
3.8727,13941.6,521613.8
3.9122,14083.9,527377.5
3.9517,14226.1,527377.5
3.9912,14368.4,530259.4
4.0307,14510.6,533141.2
4.0703,14652.9,536023.1
4.1098,14795.2,538904.9
4.1493,14937.4,538904.9
4.1888,15079.7,544668.6
4.2283,15222.0,544668.6
4.2678,15364.2,544668.6
4.3074,15506.5,550432.3
4.3469,15648.7,550432.3
4.3864,15791.0,556196.0
4.4259,15933.3,556196.0
4.4654,16075.5,556196.0
4.5049,16217.8,561959.7
4.5445,16360.0,561959.7
4.5840,16502.3,564841.5
4.6235,16644.6,567723.3
4.6630,16786.8,567723.3
4.7025,16929.1,573487.0
4.7420,17071.4,573487.0
4.7816,17213.6,576368.9
4.8211,17355.9,579250.7
4.8606,17498.1,579250.7
4.9001,17640.4,573487.0
4.9396,17782.7,573487.0
4.9791,17924.9,567723.3
5.0187,18067.2,567723.3
5.0582,18209.4,561959.7
5.0977,18351.7,561959.7
5.1372,18494.0,559077.8
5.1767,18636.2,556196.0
5.2162,18778.5,553314.1
5.2558,18920.7,550432.3
5.2953,19063.0,550432.3
5.3348,19205.3,544668.6
5.3743,19347.5,544668.6
5.4138,19489.8,538904.9
5.4533,19632.1,538904.9
5.4929,19774.3,538904.9
5.5324,19916.6,533141.2
5.5719,20058.8,533141.2
5.6114,20201.1,527377.5
5.6509,20343.4,527377.5
5.6905,20485.6,524495.7
5.7300,20627.9,521613.8
5.7695,20770.1,521613.8
5.8090,20912.4,515850.1
5.8485,21054.7,515850.1
5.8880,21196.9,512968.3
5.9276,21339.2,510086.5
5.9671,21481.4,510086.5
6.0066,21623.7,504322.8
6.0461,21766.0,504322.8
6.0856,21908.2,501440.9
6.1251,22050.5,498559.1
6.1647,22192.8,498559.1
6.2042,22335.0,495677.2
6.2437,22477.3,492795.4
6.2832,22619.5,489913.5
6.3227,22761.8,487031.7
6.3622,22904.1,487031.7
6.4018,23046.3,484149.9
6.4413,23188.6,481268.0
6.4808,23330.8,481268.0
6.5203,23473.1,475504.3
6.5598,23615.4,475504.3
6.5993,23757.6,472622.5
6.6389,23899.9,469740.6
6.6784,24042.2,469740.6
6.7179,24184.4,466858.8
6.7574,24326.7,463976.9
6.7969,24468.9,463976.9
6.8364,24611.2,458213.3
6.8760,24753.5,458213.3
6.9155,24895.7,458213.3
6.9550,25038.0,452449.6
6.9945,25180.2,452449.6
7.0340,25322.5,452449.6
7.0735,25464.8,446685.9
7.1131,25607.0,446685.9
7.1526,25749.3,446685.9
7.1921,25891.5,440922.2
7.2316,26033.8,440922.2
7.2711,26176.1,440922.2
7.3106,26318.3,435158.5
7.3502,26460.6,435158.5
7.3897,26602.9,435158.5
7.4292,26745.1,429394.8
7.4687,26887.4,429394.8
7.5082,27029.6,429394.8
7.5477,27171.9,423631.1
7.5873,27314.2,423631.1
7.6268,27456.4,423631.1
7.6663,27598.7,417867.4
7.7058,27740.9,417867.4
7.7453,27883.2,417867.4
7.7849,28025.5,412103.7
7.8244,28167.7,412103.7
7.8639,28310.0,412103.7
7.9034,28452.3,406340.1
7.9429,28594.5,406340.1
7.9824,28736.8,406340.1
8.0220,28879.0,400576.4
8.0615,29021.3,400576.4
8.1010,29163.6,400576.4
8.1405,29305.8,397694.5
8.1800,29448.1,394812.7
8.2195,29590.3,394812.7
8.2591,29732.6,389049.0
8.2986,29874.9,389049.0
8.3381,30017.1,389049.0
8.3776,30159.4,386167.1
8.4171,30301.6,383285.3
8.4566,30443.9,383285.3
8.4962,30586.2,383285.3
8.5357,30728.4,377521.6
8.5752,30870.7,377521.6
8.6147,31013.0,377521.6
8.6542,31155.2,371757.9
8.6937,31297.5,371757.9
8.7333,31439.7,371757.9
8.7728,31582.0,368876.1
8.8123,31724.3,365994.2
8.8518,31866.5,365994.2
8.8913,32008.8,365994.2
8.9308,32151.0,360230.5
8.9704,32293.3,360230.5
9.0099,32435.6,360230.5
9.0494,32577.8,360230.5
9.0889,32720.1,354466.9
9.1284,32862.3,354466.9
9.1679,33004.6,354466.9
9.2075,33146.9,351585.0
9.2470,33289.1,348703.2
9.2865,33431.4,348703.2
9.3260,33573.7,348703.2
9.3655,33715.9,345821.3
9.4050,33858.2,342939.5
9.4446,34000.4,342939.5
9.4841,34142.7,342939.5
9.5236,34285.0,337175.8
9.5631,34427.2,337175.8
9.6026,34569.5,337175.8
9.6422,34711.7,337175.8
9.6817,34854.0,331412.1
9.7212,34996.3,331412.1
9.7607,35138.5,331412.1
9.8002,35280.8,328530.3
9.8397,35423.1,325648.4
9.8793,35565.3,325648.4
9.9188,35707.6,325648.4
9.9583,35849.8,322766.6
9.9978,35992.1,319884.7
10.0373,36134.4,319884.7
10.0768,36276.6,319884.7
10.1164,36418.9,317002.9
10.1559,36561.1,314121.0
10.1954,36703.4,314121.0
10.2349,36845.7,314121.0
10.2744,36987.9,311239.2
10.3139,37130.2,308357.3
10.3535,37272.4,308357.3
10.3930,37414.7,308357.3
10.4325,37557.0,305475.5
10.4720,37699.2,305475.5
10.5115,37841.5,302593.7
10.5510,37983.8,302593.7
10.5906,38126.0,302593.7
10.6301,38268.3,299711.8
10.6696,38410.5,296830.0
10.7091,38552.8,296830.0
10.7486,38695.1,296830.0
10.7881,38837.3,293948.1
10.8277,38979.6,296830.0
10.9462,39406.4,282420.7
10.9857,39548.6,282420.7
11.0252,39690.9,285302.6
11.0648,39833.2,282420.7
11.1043,39975.4,282420.7
11.1438,40117.7,282420.7
11.1833,40259.9,279538.9
11.2228,40402.2,276657.1
11.2623,40544.5,276657.1
11.3019,40686.7,276657.1
11.3414,40829.0,276657.1
11.3809,40971.2,273775.2
11.4204,41113.5,270893.4
11.4599,41255.8,270893.4
11.4995,41398.0,270893.4
11.5390,41540.3,270893.4
11.5785,41682.5,265129.7
11.6180,41824.8,265129.7
11.6575,41967.1,265129.7
11.6970,42109.3,265129.7
11.7366,42251.6,262247.8
11.7761,42393.9,259366.0
11.8156,42536.1,259366.0
11.8551,42678.4,259366.0
11.8946,42820.6,259366.0
11.9341,42962.9,256484.1
11.9737,43105.2,253602.3
12.0132,43247.4,253602.3
12.0527,43389.7,253602.3
12.0922,43531.9,253602.3
12.1317,43674.2,247838.6
12.1712,43816.5,247838.6
12.2108,43958.7,247838.6
12.2503,44101.0,247838.6
12.2898,44243.2,247838.6
12.3293,44385.5,242074.9
12.3688,44527.8,242074.9
12.4083,44670.0,242074.9
12.4479,44812.3,239193.1
12.4874,44954.6,242074.9
12.5269,45096.8,239193.1
12.5664,45239.1,239193.1
12.6059,45381.3,239193.1
12.6454,45523.6,239193.1
12.6850,45665.9,236311.2
12.7245,45808.1,236311.2
12.7640,45950.4,233429.4
12.8035,46092.6,233429.4
12.8430,46234.9,233429.4
12.8825,46377.2,233429.4
12.9221,46519.4,230547.6
12.9616,46661.7,227665.7
13.0011,46804.0,227665.7
13.0406,46946.2,227665.7
13.0801,47088.5,227665.7
13.1196,47230.7,224783.9
13.1592,47373.0,224783.9
13.1987,47515.3,221902.0
13.2382,47657.5,221902.0
13.2777,47799.8,221902.0
13.3172,47942.0,221902.0
13.3568,48084.3,219020.2
13.3963,48226.6,219020.2
13.4358,48368.8,216138.3
13.4753,48511.1,216138.3
13.5148,48653.3,216138.3
13.5543,48795.6,216138.3
13.5939,48937.9,213256.5
13.6334,49080.1,213256.5
13.6729,49222.4,210374.6
13.7124,49364.7,210374.6
13.7519,49506.9,210374.6
13.7914,49649.2,210374.6
13.8310,49791.4,207492.8
13.8705,49933.7,207492.8
13.9100,50076.0,204611.0
13.9495,50218.2,204611.0
13.9890,50360.5,204611.0
14.0285,50502.7,204611.0
14.0681,50645.0,201729.1
14.1076,50787.3,201729.1
14.1471,50929.5,201729.1
14.1866,51071.8,198847.3
14.2261,51214.1,198847.3
14.2656,51356.3,198847.3
14.3052,51498.6,195965.4
14.3447,51640.8,195965.4
14.3842,51783.1,193083.6
14.4237,51925.4,193083.6
14.4632,52067.6,193083.6
14.5027,52209.9,193083.6
14.5423,52352.1,193083.6
14.5818,52494.4,190201.7
14.6213,52636.7,190201.7
14.6608,52778.9,190201.7
14.7003,52921.2,187319.9
14.7398,53063.4,187319.9
14.7794,53205.7,187319.9
14.8189,53348.0,184438.0
14.8584,53490.2,184438.0
14.8979,53632.5,184438.0
14.9374,53774.8,181556.2
14.9769,53917.0,181556.2
15.0165,54059.3,181556.2
15.0560,54201.5,181556.2
15.0955,54343.8,178674.4
15.1350,54486.1,178674.4
15.1745,54628.3,178674.4
15.2141,54770.6,175792.5
15.2536,54912.8,175792.5
15.2931,55055.1,175792.5
15.3326,55197.4,175792.5
15.3721,55339.6,175792.5
15.4116,55481.9,172910.7
15.4512,55624.1,172910.7
15.4907,55766.4,172910.7
15.5302,55908.7,170028.8
15.5697,56050.9,170028.8
15.6092,56193.2,170028.8
15.6487,56335.5,170028.8
15.6883,56477.7,167147.0
15.7278,56620.0,167147.0
15.7673,56762.2,167147.0
15.8068,56904.5,164265.1
15.8463,57046.8,164265.1
15.8858,57189.0,164265.1
15.9254,57331.3,164265.1
15.9649,57473.5,164265.1
16.0044,57615.8,161383.3
16.0439,57758.1,161383.3
16.0834,57900.3,158501.4
16.1229,58042.6,158501.4
16.1625,58184.9,158501.4
16.2020,58327.1,158501.4
16.2415,58469.4,158501.4
16.2810,58611.6,158501.4
16.3205,58753.9,155619.6
16.3600,58896.2,155619.6
16.3996,59038.4,152737.8
16.4391,59180.7,152737.8
16.4786,59322.9,152737.8
16.5181,59465.2,152737.8
16.5576,59607.5,152737.8
16.5971,59749.7,152737.8
16.6367,59892.0,152737.8
16.6762,60034.2,149855.9
16.7157,60176.5,149855.9
16.7552,60318.8,149855.9
16.7947,60461.0,146974.1
16.8342,60603.3,146974.1
16.8738,60745.6,146974.1
16.9133,60887.8,146974.1
16.9528,61030.1,146974.1
16.9923,61172.3,144092.2
17.0318,61314.6,144092.2
17.0714,61456.9,144092.2
17.1109,61599.1,141210.4
17.1504,61741.4,141210.4
17.1899,61883.6,141210.4
17.2294,62025.9,141210.4
17.2689,62168.2,141210.4
17.3085,62310.4,141210.4
17.3480,62452.7,138328.5
17.3875,62595.0,138328.5
17.4270,62737.2,138328.5
17.4665,62879.5,135446.7
17.5060,63021.7,135446.7
17.5456,63164.0,135446.7
17.5851,63306.3,135446.7
17.6246,63448.5,135446.7
17.6641,63590.8,132564.8
17.7036,63733.0,132564.8
17.7431,63875.3,132564.8
17.7827,64017.6,132564.8
17.8222,64159.8,132564.8
17.8617,64302.1,129683.0
17.9012,64444.3,129683.0
17.9407,64586.6,129683.0
17.9802,64728.9,129683.0
18.0198,64871.1,129683.0
18.0593,65013.4,129683.0
18.0988,65155.7,126801.2
18.1383,65297.9,126801.2
18.1778,65440.2,126801.2
18.2173,65582.4,126801.2
18.2569,65724.7,123919.3
18.2964,65867.0,123919.3
18.3359,66009.2,123919.3
18.3754,66151.5,123919.3
18.4149,66293.7,123919.3
18.4544,66436.0,121037.5
18.4940,66578.3,121037.5
18.5335,66720.5,121037.5
18.5730,66862.8,121037.5
18.6125,67005.0,121037.5
18.6520,67147.3,118155.6
18.6915,67289.6,118155.6
18.7311,67431.8,118155.6
18.7706,67574.1,118155.6
18.8101,67716.4,118155.6
18.8496,67858.6,118155.6
18.8891,68000.9,115273.8
18.9286,68143.1,115273.8
18.9682,68285.4,115273.8
19.0077,68427.7,115273.8
19.0472,68569.9,112391.9
19.0867,68712.2,112391.9
19.1262,68854.4,112391.9
19.1658,68996.7,112391.9
19.2053,69139.0,112391.9
19.2448,69281.2,112391.9
19.2843,69423.5,112391.9
19.3238,69565.8,109510.1
19.3633,69708.0,109510.1
19.4029,69850.3,109510.1
19.4424,69992.5,109510.1
19.4819,70134.8,109510.1
19.5214,70277.1,106628.2
19.5609,70419.3,106628.2
19.6004,70561.6,106628.2
19.6400,70703.8,106628.2
19.6795,70846.1,106628.2
19.7190,70988.4,106628.2
19.7585,71130.6,103746.4
19.7980,71272.9,103746.4
19.8375,71415.1,103746.4
19.8771,71557.4,103746.4
19.9166,71699.7,103746.4
19.9561,71841.9,100864.6
19.9956,71984.2,100864.6
20.0351,72126.5,100864.6
20.0746,72268.7,100864.6
20.1142,72411.0,100864.6
20.1537,72553.2,100864.6
20.1932,72695.5,100864.6
20.2327,72837.8,100864.6
20.2722,72980.0,100864.6
20.3117,73122.3,97982.7
20.3513,73264.5,97982.7
20.3908,73406.8,97982.7
20.4303,73549.1,97982.7
20.4698,73691.3,97982.7
20.5093,73833.6,95100.9
20.5488,73975.9,95100.9
20.5884,74118.1,95100.9
20.6279,74260.4,95100.9
20.6674,74402.6,95100.9
20.7069,74544.9,95100.9
20.7464,74687.2,95100.9
20.7859,74829.4,95100.9
20.8255,74971.7,95100.9
20.8650,75113.9,95100.9
20.9045,75256.2,92219.0
20.9440,75398.5,92219.0
20.9835,75540.7,92219.0
21.0231,75683.0,89337.2
21.0626,75825.2,89337.2
21.1021,75967.5,89337.2
21.1416,76109.8,89337.2
21.1811,76252.0,89337.2
21.2206,76394.3,89337.2
21.2602,76536.6,89337.2
21.2997,76678.8,89337.2
21.3392,76821.1,89337.2
21.3787,76963.3,86455.3
21.4182,77105.6,86455.3
21.4577,77247.9,86455.3
21.4973,77390.1,86455.3
21.5368,77532.4,86455.3
21.5763,77674.6,86455.3
21.6158,77816.9,86455.3
21.6553,77959.2,83573.5
21.6948,78101.4,83573.5
21.7344,78243.7,83573.5
21.7739,78385.9,83573.5
21.8134,78528.2,83573.5
21.8529,78670.5,83573.5
21.8924,78812.7,83573.5
21.9319,78955.0,83573.5
21.9715,79097.3,83573.5
22.0110,79239.5,80691.6
22.0505,79381.8,80691.6
22.0900,79524.0,80691.6
22.1295,79666.3,80691.6
22.1690,79808.6,80691.6
22.2086,79950.8,80691.6
22.2481,80093.1,77809.8
22.2876,80235.3,77809.8
22.3271,80377.6,77809.8
22.3666,80519.9,77809.8
22.4061,80662.1,77809.8
22.4457,80804.4,77809.8
22.4852,80946.7,77809.8
22.5247,81088.9,77809.8
22.5642,81231.2,77809.8
22.6037,81373.4,74928.0
22.6432,81515.7,74928.0
22.6828,81658.0,74928.0
22.7223,81800.2,74928.0
22.7618,81942.5,74928.0
22.8013,82084.7,74928.0
22.8408,82227.0,74928.0
22.8804,82369.3,74928.0
22.9199,82511.5,72046.1
22.9594,82653.8,72046.1
22.9989,82796.0,72046.1
23.0384,82938.3,72046.1
23.0779,83080.6,72046.1
23.1175,83222.8,72046.1
23.1570,83365.1,72046.1
23.1965,83507.4,72046.1
23.2360,83649.6,72046.1
23.2755,83791.9,72046.1
23.3150,83934.1,72046.1
23.3546,84076.4,72046.1
23.3941,84218.7,69164.3
23.4336,84360.9,69164.3
23.4731,84503.2,69164.3
23.5126,84645.4,69164.3
23.5521,84787.7,69164.3
23.5917,84930.0,69164.3
23.6312,85072.2,69164.3
23.6707,85214.5,66282.4
23.7102,85356.8,66282.4
23.7497,85499.0,66282.4
23.7892,85641.3,66282.4
23.8288,85783.5,66282.4
23.8683,85925.8,66282.4
23.9078,86068.1,66282.4
23.9473,86210.3,66282.4
23.9868,86352.6,66282.4
24.0263,86494.8,66282.4
24.0659,86637.1,66282.4
24.1054,86779.4,63400.6
24.1449,86921.6,63400.6
24.1844,87063.9,63400.6
24.2239,87206.1,63400.6
24.2634,87348.4,63400.6
24.3030,87490.7,63400.6
24.3425,87632.9,63400.6
24.3820,87775.2,63400.6
24.4215,87917.5,63400.6
24.4610,88059.7,60518.7
24.5005,88202.0,60518.7
24.5401,88344.2,60518.7
24.5796,88486.5,60518.7
24.6191,88628.8,60518.7
24.6586,88771.0,60518.7
24.6981,88913.3,60518.7
24.7377,89055.5,60518.7
24.7772,89197.8,60518.7
24.8167,89340.1,60518.7
24.8562,89482.3,60518.7
24.8957,89624.6,60518.7
24.9352,89766.8,57636.9
24.9748,89909.1,57636.9
25.0143,90051.4,57636.9
25.0538,90193.6,57636.9
25.0933,90335.9,57636.9
25.1328,90478.2,57636.9
25.1723,90620.4,57636.9
25.2119,90762.7,57636.9
25.2514,90904.9,57636.9
25.2909,91047.2,54755.0
25.3304,91189.5,54755.0
25.3699,91331.7,54755.0
25.4094,91474.0,54755.0
25.4490,91616.2,54755.0
25.4885,91758.5,54755.0
25.5280,91900.8,54755.0
25.5675,92043.0,54755.0
25.6070,92185.3,54755.0
25.6465,92327.6,54755.0
25.6861,92469.8,54755.0
25.7256,92612.1,54755.0
25.7651,92754.3,54755.0
25.8046,92896.6,54755.0
25.8441,93038.9,51873.2
25.8836,93181.1,51873.2
25.9232,93323.4,51873.2
25.9627,93465.6,51873.2
26.0022,93607.9,51873.2
26.0417,93750.2,51873.2
26.0812,93892.4,51873.2
26.1207,94034.7,51873.2
26.1603,94176.9,51873.2
26.1998,94319.2,51873.2
26.2393,94461.5,48991.4
26.2788,94603.7,48991.4
26.3183,94746.0,48991.4
26.3578,94888.3,48991.4
26.3974,95030.5,48991.4
26.4369,95172.8,48991.4
26.4764,95315.0,48991.4
26.5159,95457.3,48991.4
26.5554,95599.6,48991.4
26.5950,95741.8,48991.4
26.6345,95884.1,48991.4
26.6740,96026.3,48991.4
26.7135,96168.6,48991.4
26.7530,96310.9,46109.5
26.7925,96453.1,46109.5
26.8321,96595.4,46109.5
26.8716,96737.7,46109.5
26.9111,96879.9,46109.5
26.9506,97022.2,46109.5
26.9901,97164.4,46109.5
27.0296,97306.7,46109.5
27.0692,97449.0,46109.5
27.1087,97591.2,46109.5
27.1482,97733.5,46109.5
27.1877,97875.7,46109.5
27.2272,98018.0,43227.7
27.2667,98160.3,43227.7
27.3063,98302.5,43227.7
27.3458,98444.8,43227.7
27.3853,98587.0,43227.7
27.4248,98729.3,43227.7
27.4643,98871.6,43227.7
27.5038,99013.8,43227.7
27.5434,99156.1,43227.7
27.5829,99298.4,43227.7
27.6224,99440.6,43227.7
27.6619,99582.9,43227.7
27.7014,99725.1,43227.7
27.7409,99867.4,43227.7
27.7805,100009.7,43227.7
27.8200,100151.9,43227.7
27.8595,100294.2,43227.7
27.8990,100436.4,40345.8
27.9385,100578.7,40345.8
27.9780,100721.0,40345.8
28.0176,100863.2,40345.8
28.0571,101005.5,40345.8
28.0966,101147.7,40345.8
28.1361,101290.0,40345.8
28.1756,101432.3,43227.7
28.3337,102001.3,34582.1
28.3732,102143.6,37464.0
28.4127,102285.8,37464.0
28.4523,102428.1,37464.0
28.4918,102570.4,37464.0
28.5313,102712.6,34582.1
28.5708,102854.9,34582.1
28.6103,102997.1,34582.1
28.6498,103139.4,34582.1
28.6894,103281.7,34582.1
28.7289,103423.9,34582.1
28.7684,103566.2,34582.1
28.8079,103708.5,34582.1
28.8474,103850.7,34582.1
28.8869,103993.0,34582.1
28.9265,104135.2,34582.1
28.9660,104277.5,34582.1
29.0055,104419.8,34582.1
29.0450,104562.0,34582.1
29.0845,104704.3,34582.1
29.1240,104846.5,34582.1
29.1636,104988.8,31700.3
29.2031,105131.1,31700.3
29.2426,105273.3,31700.3
29.2821,105415.6,31700.3
29.3216,105557.8,31700.3
29.3611,105700.1,31700.3
29.4007,105842.4,31700.3
29.4402,105984.6,31700.3
29.4797,106126.9,31700.3
29.5192,106269.2,31700.3
29.5587,106411.4,31700.3
29.5982,106553.7,31700.3
29.6378,106695.9,31700.3
29.6773,106838.2,31700.3
29.7168,106980.5,31700.3
29.7563,107122.7,31700.3
29.7958,107265.0,31700.3
29.8353,107407.2,31700.3
29.8749,107549.5,31700.3
29.9144,107691.8,31700.3
29.9539,107834.0,28818.4
29.9934,107976.3,28818.4
30.0329,108118.6,28818.4
30.0724,108260.8,28818.4
30.1120,108403.1,28818.4
30.1515,108545.3,28818.4
30.1910,108687.6,28818.4
30.2305,108829.9,28818.4
30.2700,108972.1,28818.4
30.3095,109114.4,25936.6
30.3491,109256.6,25936.6
30.3886,109398.9,25936.6
30.4281,109541.2,25936.6
30.4676,109683.4,25936.6
30.5071,109825.7,25936.6
30.5467,109967.9,25936.6
30.5862,110110.2,25936.6
30.6257,110252.5,25936.6
30.6652,110394.7,25936.6
30.7047,110537.0,25936.6
30.7442,110679.3,25936.6
30.7838,110821.5,25936.6
30.8233,110963.8,25936.6
30.8628,111106.0,25936.6
30.9023,111248.3,25936.6
30.9418,111390.6,25936.6
30.9813,111532.8,25936.6
31.0209,111675.1,25936.6
31.0604,111817.3,25936.6
31.0999,111959.6,25936.6
31.1394,112101.9,25936.6
31.1789,112244.1,25936.6
31.2184,112386.4,25936.6
31.2580,112528.6,25936.6
31.2975,112670.9,25936.6
31.3370,112813.2,25936.6
31.3765,112955.4,25936.6
31.4160,113097.7,25936.6
31.4555,113240.0,25936.6
31.4951,113382.2,25936.6
31.5346,113524.5,23054.8
31.5741,113666.7,23054.8
31.6136,113809.0,20172.9
31.6531,113951.3,20172.9
31.6926,114093.5,20172.9
31.7322,114235.8,20172.9
31.7717,114378.0,20172.9
31.8112,114520.3,20172.9
31.8507,114662.6,20172.9
31.8902,114804.8,20172.9
31.9297,114947.1,20172.9
31.9693,115089.4,20172.9
32.0088,115231.6,20172.9
32.0483,115373.9,20172.9
32.0878,115516.1,20172.9
32.1273,115658.4,20172.9
32.1668,115800.7,20172.9
32.2064,115942.9,20172.9
32.2459,116085.2,20172.9
32.2854,116227.4,20172.9
32.3249,116369.7,20172.9
32.3644,116512.0,20172.9
32.4040,116654.2,20172.9
32.4435,116796.5,20172.9
32.4830,116938.7,20172.9
32.5225,117081.0,20172.9
32.5620,117223.3,20172.9
32.6015,117365.5,20172.9
32.6411,117507.8,20172.9
32.6806,117650.1,20172.9
32.7201,117792.3,20172.9
32.7596,117934.6,20172.9
32.7991,118076.8,20172.9
32.8386,118219.1,20172.9
32.8782,118361.4,20172.9
32.9177,118503.6,20172.9
32.9572,118645.9,20172.9
32.9967,118788.1,20172.9
33.0362,118930.4,20172.9
33.0757,119072.7,17291.1
33.1153,119214.9,17291.1
33.1548,119357.2,17291.1
33.1943,119499.5,17291.1
33.2338,119641.7,17291.1
33.2733,119784.0,17291.1
33.3128,119926.2,17291.1
33.3524,120068.5,17291.1
33.3919,120210.8,17291.1
33.4314,120353.0,17291.1
33.4709,120495.3,17291.1
33.5104,120637.5,14409.2
33.5499,120779.8,14409.2
33.5895,120922.1,14409.2
33.6290,121064.3,14409.2
33.6685,121206.6,14409.2
33.7080,121348.8,14409.2
33.7475,121491.1,14409.2
33.7870,121633.4,14409.2
33.8266,121775.6,14409.2
33.8661,121917.9,14409.2
33.9056,122060.2,14409.2
33.9451,122202.4,14409.2
33.9846,122344.7,14409.2
34.0241,122486.9,14409.2
34.0637,122629.2,14409.2
34.1032,122771.5,14409.2
34.1427,122913.7,14409.2
34.1822,123056.0,14409.2
34.2217,123198.2,14409.2
34.2613,123340.5,14409.2
34.3008,123482.8,14409.2
34.3403,123625.0,14409.2
34.3798,123767.3,14409.2
34.4193,123909.5,14409.2
34.4588,124051.8,14409.2
34.4984,124194.1,14409.2
34.5379,124336.3,14409.2
34.5774,124478.6,14409.2
34.6169,124620.9,14409.2
34.6564,124763.1,14409.2
34.6959,124905.4,14409.2
34.7355,125047.6,14409.2
34.7750,125189.9,11527.4
34.8145,125332.2,11527.4
