# Fig. 5A: normalized % phosphorylation of wild-type CD3z (ABC trace only) vs log10(LCK/phosphatase)
# Digitized from Rohrs et al. (2018) Biophys J 115:1116-1129 by digitize_rohrs2018.py
log10_lck_over_phosphatase,ABC
1.68389,87.8049
1.69605,87.9573
1.70821,88.2622
1.72036,88.5671
1.73252,88.7195
1.74468,89.0244
1.75684,89.1768
1.769,89.3293
1.78116,89.4817
1.79331,89.7866
1.80547,90.0915
1.81763,90.0915
1.82979,90.3963
1.84195,90.7012
1.8541,90.8537
1.86626,91.0061
1.87842,91.1585
1.89058,91.311
1.90274,91.6159
1.91489,91.9207
1.92705,91.9207
1.93921,92.2256
1.95137,92.0732
1.96353,92.2256
1.97568,91.9207
1.98784,91.9207
