observableId	observableFormula	noiseFormula	noiseDistribution	noisePlaceholders
func_pY1068_percent	pY1068_percent	noiseParameter1_func_pY1068_percent	normal	noiseParameter1_func_pY1068_percent
func_pY1173_percent	pY1173_percent	noiseParameter1_func_pY1173_percent	normal	noiseParameter1_func_pY1173_percent
func_phosR_per	phosR_per	noiseParameter1_func_phosR_per	normal	noiseParameter1_func_phosR_per
