# Kozer et al. (2013) Mol BioSyst 9:1849-1863, average-normalized time-course data at 30 nM EGF.
# pre2_time = EGFR cluster density (Fig 3B); pre4_time = phospho-EGFR (Fig 3D); each column
# scaled so its measurement average is 1. _SD are per-point standard deviations. NaN = missing.
# Traced from pybnf-jobs/Kozer-2013/egfr_nf/timecourse.exp.
time_s,pre2_time,pre4_time,pre2_time_SD,pre4_time_SD
0,1.6131558314,0.0015707048,0.2004231309,0.0597428571
30,0.9593315136,0.8850918303,0.2615617574,0.0667714286
60,0.8707928038,1.11127324,0.163062846,0.0632571429
120,NaN,1.2208298593,NaN,0.0702857143
180,0.7039313897,1.1395459159,0.1019185391,0.0667714286
300,0.9865741934,1.3268523945,0.1189030688,0.0562285714
420,NaN,1.2102276055,NaN,0.0632571429
600,0.867387469,1.1077391545,0.1936236386,0.0667714286
