# Fig. 2C - total phosphorylation (Eq. 2) vs log10([E]/[F]), N = 1..20 sites
# reaction-limited regime, with enzyme refractory state
# Dushek O, van der Merwe PA, Shahrezaei V (2011) Biophysical Journal 100:1189-1197. doi:10.1016/j.bpj.2011.01.060
# Digitized by digitize_dushek2011.py from the vector paths of page 4.
# Series identity is drawing order, cross-checked against the MATLAB colour cycle and against curve nesting; the axes calibration is validated on the exact 0.5 crossing at log10([E]/[F]) = 0.
n_sites,log10_E_over_F,total_phosphorylation
5,1.37994,0.870173
5,1.51541,0.878047
5,1.58315,0.881307
5,1.71862,0.886569
5,1.78636,0.888524
5,1.92183,0.892461
5,1.98957,0.893776
6,-2,0.0904856
6,-1.93397,0.0924588
6,-1.86625,0.0937742
6,-1.79851,0.0957288
6,-1.73076,0.0977017
6,-1.66302,0.100323
6,-1.52755,0.106891
6,-1.39209,0.114756
6,-1.32434,0.119999
6,-1.2566,0.12589
6,-1.18888,0.133116
6,-1.12113,0.140981
6,-1.05339,0.149503
6,-0.98564,0.159999
6,-0.919662,0.1718
6,-0.851917,0.184908
6,-0.784171,0.200007
6,-0.716451,0.216404
6,-0.648706,0.234764
6,-0.580961,0.255746
6,-0.513216,0.278043
6,-0.445495,0.302962
6,-0.37775,0.329196
6,-0.310005,0.357385
6,-0.24226,0.387537
6,-0.17454,0.418375
6,0.0964158,0.549518
6,0.162419,0.582301
6,0.230164,0.613121
6,0.297909,0.643283
6,0.36563,0.671481
6,0.433374,0.697715
6,0.501095,0.722624
6,0.56884,0.744931
6,0.636585,0.765903
6,0.70433,0.784273
6,0.772075,0.80066
6,0.83982,0.815741
6,0.907541,0.828858
6,0.975286,0.840659
6,1.04303,0.851146
6,1.11078,0.859668
6,1.1785,0.867542
6,1.24447,0.874758
6,1.31222,0.880659
6,1.37994,0.885902
6,1.51541,0.893776
6,1.58315,0.897046
6,1.6509,0.900335
6,1.71862,0.902947
6,1.85411,0.906875
6,1.92183,0.908209
6,1.98957,0.910154
7,-2,0.0793419
7,-1.93397,0.0806573
7,-1.86625,0.0826118
7,-1.73076,0.086549
7,-1.5953,0.0918012
7,-1.52755,0.0950805
7,-1.45981,0.0990174
7,-1.39209,0.103603
7,-1.32434,0.108846
7,-1.18888,0.121972
7,-1.12113,0.130485
7,-1.05339,0.139675
7,-0.98564,0.149503
7,-0.919662,0.161972
7,-0.851917,0.17508
7,-0.784171,0.190818
7,-0.716451,0.207863
7,-0.648706,0.226899
7,-0.580961,0.247872
7,-0.513216,0.270827
7,-0.445495,0.296403
7,-0.37775,0.323944
7,-0.310005,0.35279
7,-0.24226,0.38361
7,-0.17454,0.415745
7,-0.106795,0.449195
7,0.0964158,0.551482
7,0.162419,0.584923
7,0.230164,0.617058
7,0.297909,0.647878
7,0.36563,0.676724
7,0.433374,0.704264
7,0.501095,0.729841
7,0.56884,0.752786
7,0.636585,0.773777
7,0.70433,0.792795
7,0.772075,0.80984
7,0.83982,0.825579
7,0.907541,0.838696
7,0.975286,0.851146
7,1.04303,0.860993
7,1.11078,0.870173
7,1.1785,0.878695
7,1.24447,0.885245
7,1.31222,0.891812
7,1.37994,0.897046
7,1.44769,0.90165
7,1.51541,0.905578
7,1.58315,0.908857
7,1.71862,0.9141
7,1.92183,0.920001
7,1.98957,0.921326
8,-2,0.0708191
8,-1.93397,0.0721345
8,-1.86625,0.0734405
8,-1.79851,0.0754138
8,-1.73076,0.0780262
8,-1.5953,0.0832784
8,-1.52755,0.0865484
8,-1.45981,0.0904853
8,-1.39209,0.09508
8,-1.2566,0.106891
8,-1.18888,0.114098
8,-1.12113,0.121972
8,-1.05339,0.131152
8,-0.98564,0.142296
8,-0.919662,0.154098
8,-0.851917,0.167872
8,-0.784171,0.183611
8,-0.716451,0.200665
8,-0.648706,0.220331
8,-0.580961,0.241971
8,-0.513216,0.265574
8,-0.445495,0.291151
8,-0.37775,0.319349
8,-0.310005,0.348862
8,-0.24226,0.380988
8,-0.17454,0.413771
8,-0.106795,0.44787
8,-0.0390744,0.482626
8,0.0286711,0.51804
8,0.0964158,0.552788
8,0.162419,0.586896
8,0.230164,0.61967
8,0.297909,0.651814
8,0.36563,0.681318
8,0.433374,0.709507
8,0.501095,0.735084
8,0.56884,0.758696
8,0.636585,0.780336
8,0.70433,0.800002
8,0.772075,0.817056
8,0.83982,0.832794
8,0.907541,0.84656
8,0.975286,0.858371
8,1.04303,0.869515
8,1.11078,0.878695
8,1.1785,0.88656
8,1.24447,0.893776
8,1.31222,0.899686
8,1.37994,0.905568
8,1.44769,0.910154
8,1.51541,0.9141
8,1.58315,0.917388
8,1.71862,0.922622
8,1.78636,0.925253
8,1.85411,0.927208
8,1.98957,0.929838
9,-2,0.0636122
9,-1.93397,0.0649093
9,-1.73076,0.0708194
9,-1.66302,0.0734408
9,-1.52755,0.0799994
9,-1.45981,0.0839363
9,-1.39209,0.0885217
9,-1.2566,0.100323
9,-1.18888,0.10754
9,-1.12113,0.115414
9,-1.05339,0.125242
9,-0.98564,0.135738
9,-0.919662,0.148206
9,-0.851917,0.161972
9,-0.784171,0.177701
9,-0.716451,0.195403
9,-0.648706,0.215079
9,-0.580961,0.236728
9,-0.513216,0.260989
9,-0.445495,0.287214
9,-0.37775,0.316079
9,-0.310005,0.346231
9,-0.24226,0.378366
9,-0.17454,0.411816
9,-0.106795,0.447222
9,0.0964158,0.553455
9,0.162419,0.58886
9,0.230164,0.622301
9,0.297909,0.654436
9,0.36563,0.684598
9,0.433374,0.713444
9,0.501095,0.739669
9,0.56884,0.763939
9,0.636585,0.785579
9,0.70433,0.805254
9,0.772075,0.822957
9,0.83982,0.838695
9,0.907541,0.85247
9,0.975286,0.86493
9,1.04303,0.875407
9,1.11078,0.885244
