# Fig. 2A - total phosphorylation (Eq. 2) vs log10([E]/[F]), N = 1..20 sites
# reaction-limited regime, without enzyme refractory state
# Dushek O, van der Merwe PA, Shahrezaei V (2011) Biophysical Journal 100:1189-1197. doi:10.1016/j.bpj.2011.01.060
# Digitized by digitize_dushek2011.py from the vector paths of page 4.
# Series identity is drawing order, cross-checked against the MATLAB colour cycle and against curve nesting; the axes calibration is validated on the exact 0.5 crossing at log10([E]/[F]) = 0.
n_sites,log10_E_over_F,total_phosphorylation
5,1.24447,0.85246
5,1.31222,0.858361
5,1.37994,0.863604
5,1.51541,0.871478
5,1.58315,0.874758
5,1.78636,0.882622
5,1.85411,0.883938
5,1.92183,0.885902
5,1.98957,0.887217
6,-2,0.0977017
6,-1.93397,0.0990264
6,-1.73076,0.104927
6,-1.5953,0.110161
6,-1.52755,0.114098
6,-1.45981,0.117387
6,-1.39209,0.121972
6,-1.32434,0.127215
6,-1.2566,0.133116
6,-1.18888,0.140332
6,-1.12113,0.148206
6,-1.05339,0.157377
6,-0.98564,0.167215
6,-0.919662,0.179016
6,-0.851917,0.192133
6,-0.784171,0.207214
6,-0.716451,0.223611
6,-0.648706,0.241971
6,-0.580961,0.262304
6,-0.513216,0.283934
6,-0.445495,0.308205
6,-0.37775,0.334429
6,-0.310005,0.36197
6,-0.24226,0.390826
6,-0.17454,0.420987
6,-0.106795,0.452465
6,-0.0390744,0.484599
6,0.0286711,0.516067
6,0.0964158,0.548202
6,0.162419,0.57968
6,0.230164,0.609841
6,0.297909,0.638697
6,0.36563,0.666228
6,0.433374,0.692462
6,0.501095,0.716723
6,0.56884,0.738363
6,0.636585,0.758687
6,0.70433,0.777056
6,0.772075,0.793453
6,0.83982,0.808524
6,0.907541,0.821641
6,0.975286,0.833443
6,1.04303,0.843281
6,1.11078,0.852461
6,1.1785,0.860335
6,1.24447,0.867542
6,1.31222,0.873443
6,1.37994,0.878686
6,1.44769,0.88328
6,1.51541,0.88656
6,1.58315,0.890497
6,1.71862,0.89574
6,1.92183,0.901641
6,1.98957,0.902956
7,-2,0.0865577
7,-1.93397,0.0878731
7,-1.86625,0.089837
7,-1.79851,0.0911524
7,-1.5953,0.0990263
7,-1.45981,0.106891
7,-1.39209,0.111476
7,-1.32434,0.116729
7,-1.2566,0.12263
7,-1.18888,0.129837
7,-1.12113,0.138368
7,-1.05339,0.147539
7,-0.98564,0.158035
7,-0.919662,0.169846
7,-0.851917,0.183611
7,-0.784171,0.198692
7,-0.716451,0.215737
7,-0.648706,0.234097
7,-0.580961,0.255088
7,-0.513216,0.278034
7,-0.445495,0.302952
7,-0.37775,0.329186
7,-0.310005,0.358033
7,-0.24226,0.387546
7,-0.17454,0.419014
7,-0.106795,0.451158
7,0.0964158,0.549518
7,0.162419,0.581644
7,0.230164,0.613121
7,0.297909,0.642625
7,0.36563,0.671481
7,0.433374,0.697705
7,0.501095,0.722633
7,0.56884,0.745579
7,0.636585,0.766561
7,0.70433,0.784921
7,0.772075,0.801966
7,0.83982,0.817056
7,0.907541,0.830821
7,0.975286,0.842623
7,1.04303,0.853109
7,1.11078,0.862299
7,1.1785,0.870821
7,1.24447,0.878028
7,1.31222,0.883938
7,1.37994,0.889181
7,1.44769,0.893767
7,1.58315,0.901641
7,1.78636,0.909505
7,1.85411,0.910821
7,1.92183,0.912785
7,1.98957,0.9141
8,-2,0.078035
8,-1.93397,0.0793503
8,-1.73076,0.0852513
8,-1.66302,0.0878727
8,-1.52755,0.094422
8,-1.45981,0.098359
8,-1.32434,0.108864
8,-1.2566,0.114755
8,-1.18888,0.121972
8,-1.12113,0.130503
8,-1.05339,0.139674
8,-0.98564,0.150818
8,-0.919662,0.162629
8,-0.851917,0.176394
8,-0.784171,0.192133
8,-0.716451,0.209187
8,-0.648706,0.228853
8,-0.580961,0.249835
8,-0.513216,0.273438
8,-0.445495,0.298357
8,-0.37775,0.325907
8,-0.310005,0.354753
8,-0.24226,0.385582
8,-0.17454,0.41705
8,-0.106795,0.449843
8,-0.0390744,0.483284
8,0.0286711,0.517383
8,0.0964158,0.550824
8,0.162419,0.583607
8,0.230164,0.615084
8,0.297909,0.645904
8,0.36563,0.674759
8,0.433374,0.7023
8,0.501095,0.727218
8,0.56884,0.750822
8,0.636585,0.771803
8,0.70433,0.791479
8,0.772075,0.808524
8,0.83982,0.824262
8,0.907541,0.838028
8,0.975286,0.849839
8,1.04303,0.860983
8,1.11078,0.870163
8,1.1785,0.878685
8,1.24447,0.885902
8,1.31222,0.891802
8,1.44769,0.902289
8,1.51541,0.906226
8,1.6509,0.912784
8,1.71862,0.915415
8,1.92183,0.921316
8,1.98957,0.922622
9,-2,0.0714769
9,-1.93397,0.0727923
9,-1.73076,0.0786932
9,-1.66302,0.0813147
9,-1.5953,0.0845847
9,-1.52755,0.0878733
9,-1.39209,0.0970533
9,-1.32434,0.102296
9,-1.2566,0.108864
9,-1.18888,0.116062
9,-1.12113,0.124594
9,-1.05339,0.134431
9,-0.98564,0.144918
9,-0.919662,0.157377
9,-0.851917,0.171152
9,-0.784171,0.186881
9,-0.716451,0.204593
9,-0.648706,0.224269
9,-0.580961,0.245908
9,-0.513216,0.269511
9,-0.445495,0.295078
9,-0.37775,0.322628
9,-0.310005,0.352132
9,-0.24226,0.383609
9,-0.17454,0.415744
9,-0.106795,0.449185
9,0.0964158,0.551482
9,0.162419,0.584923
9,0.230164,0.617049
9,0.297909,0.648526
9,0.36563,0.678039
9,0.433374,0.70558
9,0.501095,0.731147
9,0.56884,0.754759
9,0.636585,0.776399
9,0.70433,0.796065
9,0.772075,0.813767
9,0.83982,0.829515
9,0.907541,0.843281
9,0.975286,0.85574
9,1.04303,0.866226
9,1.11078,0.876074
9,1.1785,0.884587
9,1.24447,0.891803
9,1.31222,0.898361
9,1.37994,0.903614
9,1.51541,0.912785
9,1.6509,0.919343
9,1.71862,0.921974
9,1.92183,0.927866
9,1.98957,0.929181
10,-2,0.0662334
10,-1.93397,0.0675488
10,-1.73076,0.0734497
10,-1.66302,0.0760712
10,-1.5953,0.0793505
10,-1.45981,0.0872152
10,-1.39209,0.0918099
10,-1.32434,0.0977014
10,-1.2566,0.104269
10,-1.18888,0.111476
10,-1.12113,0.119999
10,-1.05339,0.129836
10,-0.98564,0.140332
10,-0.919662,0.152791
10,-0.851917,0.167214
10,-0.784171,0.182953
10,-0.716451,0.201323
10,-0.648706,0.220989
10,-0.580961,0.242628
10,-0.513216,0.266889
10,-0.445495,0.292457
10,-0.37775,0.320654
10,-0.310005,0.350159
10,-0.24226,0.381645
10,-0.17454,0.414428
10,-0.106795,0.448527
10,-0.0390744,0.483284
10,0.0286711,0.517383
10,0.0964158,0.55213
10,0.162419,0.586238
10,0.230164,0.619021
10,0.297909,0.650489
10,0.36563,0.680003
10,0.433374,0.708201
10,0.501095,0.733777
10,0.56884,0.758038
10,0.636585,0.779678
10,0.70433,0.799344
10,0.772075,0.817704
10,0.83982,0.833443
10,0.907541,0.847866
10,0.975286,0.860335
10,1.04303,0.870821
10,1.11078,0.880659
10,1.1785,0.889181
10,1.24447,0.896397
10,1.31222,0.902956
10,1.37994,0.908847
10,1.44769,0.913442
10,1.58315,0.921316
10,1.6509,0.924595
10,1.71862,0.927217
10,1.92183,0.933118
10,1.98957,0.934424
11,-2,0.0616481
11,-1.93397,0.0629543
11,-1.79851,0.0668819
11,-1.66302,0.0721343
11,-1.52755,0.0786928
11,-1.39209,0.0878729
11,-1.2566,0.0996745
11,-1.18888,0.107549
11,-1.12113,0.116062
11,-1.05339,0.125899
11,-0.98564,0.137053
11,-0.919662,0.149512
11,-0.851917,0.163935
11,-0.784171,0.179683
11,-0.716451,0.198034
11,-0.648706,0.21771
11,-0.580961,0.239998
11,-0.513216,0.264268
11,-0.445495,0.290493
11,-0.37775,0.318691
11,-0.310005,0.348862
11,-0.24226,0.380987
11,-0.17454,0.41378
11,-0.106795,0.447879
11,-0.0390744,0.482626
11,0.0286711,0.51804
11,0.0964158,0.552788
11,0.162419,0.586886
11,0.230164,0.619679
