# Fig. 2B - total phosphorylation (Eq. 2) vs log10([E]/[F]), N = 1..20 sites
# diffusion-limited regime, without enzyme refractory state
# Dushek O, van der Merwe PA, Shahrezaei V (2011) Biophysical Journal 100:1189-1197. doi:10.1016/j.bpj.2011.01.060
# Digitized by digitize_dushek2011.py from the vector paths of page 4.
# Series identity is drawing order, cross-checked against the MATLAB colour cycle and against curve nesting; the axes calibration is validated on the exact 0.5 crossing at log10([E]/[F]) = 0.
n_sites,log10_E_over_F,total_phosphorylation
8,-1.32434,0.478041
8,-1.12113,0.480004
8,-1.05339,0.480004
8,-0.985641,0.480662
8,-0.919662,0.481968
8,-0.784172,0.483274
8,-0.716428,0.484599
8,-0.648707,0.485248
8,-0.377751,0.490491
8,-0.310007,0.492464
8,-0.242261,0.49377
8,-0.0390502,0.49968
8,0.0286945,0.500986
8,0.0964152,0.50295
8,0.162442,0.504914
8,0.230188,0.506887
8,0.297884,0.508202
8,0.365653,0.510166
8,0.636584,0.515409
8,0.704329,0.516067
8,0.772074,0.517382
8,0.907516,0.518689
8,0.97526,0.520004
8,1.043,0.520662
8,1.11073,0.520662
8,1.17847,0.52131
8,1.24445,0.521968
8,1.31219,0.522626
8,1.37994,0.522626
8,1.5154,0.523941
8,1.58315,0.523941
8,1.6509,0.524589
8,1.71864,0.524589
8,1.9896,0.52722
9,-2,0.473446
9,-1.934,0.474104
9,-1.79851,0.47541
9,-1.73076,0.47541
9,-1.66304,0.476067
9,-1.5953,0.476067
9,-1.45981,0.477374
9,-1.39209,0.477374
9,-1.2566,0.478689
9,-1.18885,0.478689
9,-0.985641,0.480662
9,-0.919662,0.481311
9,-0.851918,0.481968
9,-0.784172,0.483274
9,-0.716428,0.483932
9,-0.377751,0.490491
9,-0.310007,0.492464
9,-0.242261,0.49377
9,-0.0390502,0.49968
9,0.0286945,0.500986
9,0.0964152,0.50295
9,0.162442,0.504914
9,0.230188,0.506887
9,0.297884,0.508202
9,0.365653,0.510166
9,0.704329,0.516725
9,0.772074,0.517382
9,0.83977,0.518689
9,1.17847,0.521968
9,1.24445,0.521968
9,1.37994,0.523283
9,1.44768,0.523283
9,1.58315,0.524589
9,1.6509,0.524589
9,1.71864,0.525247
9,1.78636,0.525247
9,1.9896,0.52722
10,-2,0.473446
10,-1.934,0.474104
10,-1.86625,0.474761
10,-1.79851,0.474761
10,-1.66304,0.476067
10,-1.5953,0.476067
10,-1.52755,0.476725
10,-1.45981,0.476725
10,-1.39209,0.477374
10,-1.32434,0.477374
10,-0.784172,0.482626
10,-0.716428,0.483932
10,-0.648707,0.484599
10,-0.513217,0.487211
10,-0.445496,0.489185
10,-0.310007,0.491806
10,-0.0390502,0.49968
10,0.0286945,0.500986
10,0.0964152,0.50295
10,0.162442,0.504914
10,0.297884,0.508851
10,0.433374,0.511472
10,0.501119,0.513445
10,0.568839,0.514752
10,0.636584,0.515409
10,0.772074,0.518031
10,1.17847,0.521968
10,1.31219,0.523283
10,1.37994,0.523283
10,1.44768,0.523941
10,1.5154,0.523941
10,1.58315,0.524589
10,1.6509,0.524589
10,1.78636,0.525905
10,1.85411,0.525905
10,1.9896,0.52722
11,-2,0.473446
11,-1.934,0.474104
11,-1.86625,0.474761
11,-1.79851,0.474761
11,-1.73076,0.47541
11,-1.66304,0.47541
11,-1.5953,0.476067
11,-1.52755,0.476067
11,-1.45981,0.476725
11,-1.39209,0.476725
11,-1.2566,0.478041
11,-1.18885,0.478041
11,-0.985641,0.480004
11,-0.919662,0.480662
11,-0.851918,0.481968
11,-0.716428,0.483274
11,-0.445496,0.488527
11,-0.377751,0.490491
11,-0.310007,0.491806
11,-0.0390502,0.49968
11,0.0286945,0.500986
11,0.0964152,0.50295
11,0.162442,0.504914
11,0.297884,0.508851
11,0.365653,0.510166
11,0.433374,0.51213
11,0.704329,0.517382
11,0.83977,0.518689
11,0.907516,0.520004
11,1.17847,0.522626
11,1.24445,0.522626
11,1.37994,0.523941
11,1.44768,0.523941
11,1.5154,0.524589
11,1.58315,0.524589
11,1.6509,0.525247
11,1.71864,0.525247
11,1.78636,0.525905
11,1.85411,0.525905
11,1.9896,0.52722
12,-2,0.473446
12,-1.934,0.474104
12,-1.86625,0.474104
12,-1.73076,0.47541
12,-1.66304,0.47541
12,-1.5953,0.476067
12,-1.52755,0.476067
12,-1.45981,0.476725
12,-1.39209,0.476725
12,-1.32434,0.477374
12,-1.2566,0.477374
12,-0.985641,0.480004
12,-0.919662,0.480662
12,-0.851918,0.481311
12,-0.784172,0.482626
12,-0.716428,0.483274
12,-0.445496,0.488527
12,-0.377751,0.490491
12,-0.310007,0.491806
12,-0.0390502,0.49968
12,0.0286945,0.500986
12,0.0964152,0.50295
12,0.162442,0.504914
12,0.297884,0.508851
12,0.365653,0.510166
12,0.433374,0.51213
12,0.704329,0.517382
12,0.772074,0.518031
12,0.83977,0.519346
12,1.17847,0.522626
12,1.24445,0.523283
12,1.31219,0.523283
12,1.37994,0.523941
12,1.44768,0.523941
12,1.5154,0.524589
12,1.58315,0.524589
12,1.71864,0.525905
12,1.78636,0.525905
12,1.85411,0.526553
12,1.92185,0.526553
12,1.9896,0.52722
13,-2,0.473446
13,-1.934,0.474104
13,-1.86625,0.474104
13,-1.79851,0.474761
13,-1.73076,0.474761
13,-1.66304,0.47541
13,-1.5953,0.47541
13,-1.52755,0.476067
13,-1.45981,0.476067
13,-1.39209,0.476725
13,-1.32434,0.476725
13,-0.985641,0.480004
13,-0.919662,0.480662
13,-0.784172,0.481968
13,-0.377751,0.489833
13,0.0286945,0.501644
13,0.0964152,0.50295
13,0.162442,0.504914
13,0.365653,0.510824
13,0.772074,0.518689
13,1.17847,0.522626
13,1.24445,0.523283
13,1.31219,0.523941
13,1.37994,0.523941
13,1.44768,0.524589
13,1.5154,0.524589
13,1.58315,0.525247
13,1.6509,0.525247
13,1.71864,0.525905
13,1.78636,0.525905
13,1.85411,0.526553
13,1.92185,0.526553
13,1.9896,0.52722
14,-2,0.473446
14,-1.934,0.474104
14,-1.86625,0.474104
14,-1.79851,0.474761
14,-1.73076,0.474761
14,-1.66304,0.47541
14,-1.5953,0.47541
14,-1.52755,0.476067
14,-1.45981,0.476067
14,-1.39209,0.476725
14,-1.32434,0.476725
14,-1.18885,0.478041
14,-1.12113,0.478041
14,-0.985641,0.479347
14,-0.919662,0.480004
14,-0.851918,0.481311
14,-0.784172,0.481968
14,-0.648707,0.484599
14,-0.580937,0.485248
14,-0.513217,0.487211
14,-0.377751,0.489833
14,-0.17454,0.495743
14,-0.106796,0.497049
14,-0.0390502,0.499013
14,0.0286945,0.501644
14,0.0964152,0.503608
14,0.162442,0.504914
14,0.365653,0.510824
14,0.501119,0.513445
14,0.568839,0.515409
14,0.636584,0.516067
14,0.772074,0.518689
14,0.83977,0.519346
14,0.907516,0.520662
14,1.11073,0.522626
14,1.17847,0.522626
14,1.24445,0.523283
14,1.31219,0.523941
14,1.37994,0.523941
14,1.44768,0.524589
14,1.5154,0.524589
14,1.58315,0.525247
14,1.6509,0.525247
14,1.71864,0.525905
14,1.78636,0.525905
14,1.85411,0.526553
14,1.92185,0.526553
14,1.9896,0.52722
15,-2,0.473446
15,-1.934,0.473446
15,-1.86625,0.474104
15,-1.79851,0.474104
15,-1.73076,0.474761
15,-1.66304,0.474761
15,-1.5953,0.47541
