bD,pYR_over_Rtot
0.1586,0.5165
0.3682,0.3994
0.5193,0.4346
0.5615,0.3926
0.5972,0.4689
0.6068,0.3494
0.6636,0.4076
0.7092,0.2630
0.7448,0.3345
0.7507,0.2271
0.7900,0.1995
0.8207,0.1780
0.8449,0.1517
0.8493,0.1725
0.8501,0.2412
0.9547,0.1388
