bD,pYR_over_Rtot
0.0709,0.7540
0.1717,0.6726
0.1917,0.7850
0.2209,0.8065
0.2230,0.7497
0.2338,0.5733
0.2500,0.7197
0.2834,0.7510
0.2843,0.6811
0.3281,0.6334
0.3316,0.7075
0.3813,0.5797
0.4580,0.4960
0.5477,0.4057
0.6407,0.3038
0.6423,0.3230
0.6552,0.4192
0.9354,0.1633
