bD,pYR_over_Rtot
0.1949,0.4456
0.4917,0.2871
0.6563,0.3045
0.6963,0.2704
0.7355,0.2381
0.7726,0.2108
0.7952,0.2894
0.8066,0.1879
0.8337,0.1699
0.8803,0.1448
0.8809,0.2147
0.9792,0.1232
