# Source: Samoilov et al. (2005) PNAS 102:2310-2315, Fig. 3A -- one exact
# Gillespie trajectory of Expressions 7 and 8 (black = X, green = X*).
# Method: article PDF page 3 rendered at 600 dpi with pdftoppm and cropped to
# the Fig. 3A panel (-x 2820 -y 380 -W 1800 -H 1520). Trace ink = pixels with
# mean RGB < 165, split into the X band (1150 < value < 2050) and the X* band
# (-60 < value < 700); the two traces are separated by >1000 molecules so the
# split is unambiguous. Each image column spans 0.00746 time units; the column
# min/mean/max of the ink is reported as lo/mid/hi. 'mid' is the ink centroid
# and estimates the local time-average of the plotted trajectory; lo/hi give
# the local excursion envelope (line width inflates it by about +-8 molecules).
# Axis calibration from tick-mark centers (not the frame): rows
# 148.5/378.5/604.5/836.5/1061.5/1287.5 -> 2500/2000/1500/1000/500/0 molecules;
# columns 194.5..1534.5 -> t = 0..10. Max tick residual 6.7 molecules, 0.0000 time units.
# The t=0 initial-condition spike is excluded (t >= 0.05).
t,X_lo,X_mid,X_hi,Xstar_lo,Xstar_mid,Xstar_hi
0.585821,1718.428,1791.929,1865.429,79.477,139.814,200.150
0.593284,1718.428,1791.929,1865.429,79.477,139.814,200.150
0.600746,1718.428,1791.929,1865.429,79.477,139.814,200.150
0.608209,1718.428,1791.929,1865.429,79.477,139.814,200.150
0.615672,1709.652,1787.541,1865.429,79.477,148.590,217.702
0.623134,1709.652,1787.541,1865.429,79.477,148.590,217.702
0.630597,1709.652,1787.541,1865.429,79.477,148.590,217.702
0.638060,1709.652,1787.541,1865.429,79.477,148.590,217.702
0.645522,1753.533,1822.646,1891.758,53.149,117.873,182.598
0.652985,1753.533,1822.646,1891.758,53.149,117.873,182.598
0.660448,1753.533,1822.646,1891.758,53.149,117.873,182.598
0.667910,1753.533,1822.646,1891.758,53.149,117.873,182.598
0.675373,1841.295,1887.492,1926.863,26.820,69.604,112.388
0.682836,1841.295,1887.492,1926.863,26.820,69.604,112.388
0.690299,1841.295,1887.492,1926.863,26.820,69.604,112.388
0.697761,1841.295,1887.492,1926.863,26.820,69.604,112.388
0.705224,1841.295,1870.915,1900.534,35.597,69.604,103.612
0.712687,1841.295,1870.915,1900.534,35.597,69.604,103.612
0.720149,1841.295,1870.915,1900.534,35.597,69.604,103.612
0.727612,1841.295,1870.915,1900.534,35.597,69.604,103.612
0.735075,1832.519,1866.526,1900.534,44.373,78.380,112.388
0.742537,1832.519,1866.526,1900.534,44.373,78.380,112.388
0.750000,1832.519,1866.526,1900.534,44.373,78.380,112.388
0.757463,1832.519,1866.526,1900.534,44.373,78.380,112.388
0.764925,1806.190,1853.362,1900.534,44.373,87.157,129.940
0.772388,1806.190,1853.362,1900.534,44.373,87.157,129.940
0.779851,1806.190,1853.362,1900.534,44.373,87.157,129.940
0.787313,1806.190,1853.362,1900.534,44.373,87.157,129.940
0.794776,1779.862,1840.198,1900.534,53.149,117.873,208.926
0.802239,1779.862,1840.198,1900.534,53.149,117.873,208.926
0.809701,1779.862,1840.198,1900.534,53.149,117.873,208.926
0.817164,1779.862,1840.198,1900.534,53.149,117.873,208.926
0.824627,1630.667,1704.167,1777.668,140.911,218.799,296.688
0.832090,1630.667,1704.167,1777.668,140.911,218.799,296.688
0.839552,1630.667,1704.167,1777.668,140.911,218.799,296.688
0.847015,1630.667,1704.167,1777.668,140.911,218.799,296.688
0.854478,1665.771,1739.272,1812.772,123.358,201.247,279.135
0.861940,1665.771,1739.272,1812.772,123.358,201.247,279.135
0.869403,1665.771,1739.272,1812.772,123.358,201.247,279.135
0.876866,1665.771,1739.272,1812.772,123.358,201.247,279.135
0.884328,1639.443,1717.331,1795.220,140.911,214.411,287.912
0.891791,1639.443,1717.331,1795.220,140.911,214.411,287.912
0.899254,1639.443,1717.331,1795.220,140.911,214.411,287.912
0.906716,1639.443,1717.331,1795.220,140.911,214.411,287.912
0.914179,1560.457,1639.321,1725.011,193.568,279.257,358.121
0.921642,1560.457,1639.321,1725.011,193.568,279.257,358.121
0.929104,1560.457,1639.321,1725.011,193.568,279.257,358.121
0.936567,1560.457,1639.321,1725.011,193.568,279.257,358.121
0.944030,1560.457,1620.793,1681.130,246.225,302.173,358.121
0.951493,1560.457,1620.793,1681.130,246.225,302.173,358.121
0.958955,1560.457,1620.793,1681.130,246.225,302.173,358.121
0.966418,1560.457,1620.793,1681.130,246.225,302.173,358.121
0.973881,1569.233,1664.674,1760.115,167.239,262.680,358.121
