alpha_factor_uM,mean_ste5_phosphorylation
0.001,3.9583333333333335
0.001091679708813151,3.9583333333333335
0.0011917645866343675,3.9583333333333335
0.0013010252169108315,3.9583333333333335
0.0014203028299557832,3.9583333333333335
0.0015505157798326253,3.9583333333333335
0.001692666615037876,3.9583333333333335
0.0018478497974222907,3.9583333333333335
0.0020172601287804064,3.9583333333333335
0.0022022019499873756,3.9583333333333335
0.002404099183509972,3.9583333333333335
0.0026245062966121003,3.9583333333333335
0.002865120269663782,3.9583333333333335
0.003127793661701214,3.9583333333333335
0.003414548873833601,3.9583333333333335
0.003727593720314938,3.9583333333333335
0.004069338427167146,3.9583333333333335
0.004442414189231996,3.9583333333333335
0.0048496934285282,3.9583333333333335
0.005294311909888718,3.9583333333333335
0.005779692884153313,3.9642857142857144
0.00630957344480193,3.9642857142857144
0.006888033300956568,3.9702380952380953
0.007519526188283554,3.9702380952380953
0.008208914159638253,3.9702380952380953
0.00896150501946605,3.9702380952380953
0.009783093190178288,3.9702380952380953
0.010680004325145754,3.9702380952380953
0.011659144011798317,3.9702380952380953
0.012728050939810586,3.9702380952380953
0.013894954943731374,3.9702380952380953
0.015168840366944528,3.9702380952380953
0.016559515234819182,3.9702380952380953
0.01807768676963434,3.9702380952380953
0.01973504382868978,3.9702380952380953
0.021544346900318832,3.9702380952380953
0.02351952635070959,3.9702380952380953
0.02567578967796589,3.9702380952380953
0.028029738599189512,3.9583333333333335
0.03059949687207196,3.9583333333333335
0.03340484983513244,3.9464285714285716
0.03646739674096444,3.9345238095238093
0.039810717055349734,3.9345238095238093
0.04346055200262694,3.9226190476190474
0.04744500275508661,3.9226190476190474
0.0517947467923121,3.938822751322751
0.05654327409628219,3.900793650793651
0.06172714500077156,3.8627645502645502
0.06738627168030945,3.8247354497354498
0.07356422544596414,3.8273809523809526
0.08030857221391513,3.7857142857142856
0.08767123872968682,3.744047619047619
0.0957089123677128,3.6726190476190474
0.1044834775844081,3.4464285714285716
0.11406249238513202,3.0956632653061225
0.12451970847350331,2.7448979591836733
0.13593563908785256,2.3941326530612246
0.14839817889675647,2.043367346938775
0.16200328072641315,1.6926020408163267
0.1768556943301859,1.3095238095238095
0.19306977288832497,0.9761904761904762
0.210770353447348,0.6785714285714286
0.2300937180778458,0.47619047619047616
0.25118864315095796,0.3714285714285713
0.27421754481220856,0.2553571428571427
0.29935772947204903,0.2160714285714283
0.3268027589410125,0.189285714285714
0.35676394072005896,0.16249999999999973
0.3894719549203066,0.13571428571428545
0.425178630338289,0.13690476190476192
0.46415888336127775,0.19642857142857142
0.5067128346308776,0.19047619047619047
0.5531681197617228,0.22023809523809523
0.6038824119061957,0.20833333333333334
0.6592461755871397,0.20833333333333334
0.7196856730011522,0.17857142857142858
0.7856662459388943,0.17857142857142858
0.8576958985908937,0.17857142857142858
0.9363292088239417,0.17857142857142858
1.0221715980421688,0.20833333333333334
1.115883992507748,0.20833333333333334
1.218187912010116,0.21428571428571427
1.329871025062904,0.19047619047619047
1.4517932133997176,0.19047619047619047
1.584893192461114,0.19047619047619047
1.7301957388458944,0.22023809523809523
1.8888195803730408,0.22023809523809523
2.0619860095022213,0.22023809523809523
2.2510282864301763,0.19047619047619047
2.457401904260261,0.20238095238095238
2.6826957952797246,0.20833333333333334
2.9286445646252375,0.20833333333333334
3.1971418455272964,0.23214285714285715
3.4902548789595795,0.23214285714285715
3.810240429946277,0.23214285714285715
4.159562163071847,0.20238095238095238
4.5409096109724745,0.20238095238095238
4.957218881853275,0.20238095238095238
5.411695265464638,0.20833333333333334
5.907837911587944,0.23809523809523808
6.449466771037621,0.24404761904761904
7.04075200660645,0.21428571428571427
7.686246100397738,0.21428571428571427
8.39091890474842,0.21428571428571427
9.160195906610529,0.21428571428571427
10.0,0.24404761904761904
