# Fig. 3E (model panel), MCF7 cells, cobimetinib,
# from Imoto H, Rauch N, Nagasato AI, Okada M, Kolch W, Rukhlenko OS,
# Kholodenko BN (2026), npj Syst Biol Appl, doi:10.1038/s41540-026-00710-6.
# 
# Source: embedded bitmap of page 9 (pdfimages, 980x648 px, ~146 ppi),
# composited over white through its soft mask.
# Calibration: least squares on the tick marks;
#   max residual x 0.0214 Kd, y 0.0039 normalized ppERK.
# Series separation: ink-direction classification against these legend
#   key colours, read from the panel itself:
#     KSR =   0 nM   RGB (206, 107, 110)
#     KSR =  15 nM   RGB (255, 187, 61)
#     KSR =  30 nM   RGB (255, 227, 76)
#     KSR =  50 nM   RGB (175, 222, 242)
#     KSR = 100 nM   RGB (101, 134, 187)
# 
# Ordinate is ppERK normalized to the no-drug steady state at the same
# KSR1 abundance (every curve starts at 1.0). Blank cells are columns
# where the series could not be separated from an overlapping one.
# Uncertainty ~0.02 in normalized ppERK; see digitize_imoto2026.py.
dose_over_Kd,ppERK_norm_KSR_0nM,ppERK_norm_KSR_15nM,ppERK_norm_KSR_30nM,ppERK_norm_KSR_50nM,ppERK_norm_KSR_100nM
5.3454,0.3285,0.4684,,,
5.4030,0.3275,0.4638,,,
5.4605,0.3247,0.4630,0.5152,,
5.5181,0.3224,0.4619,0.5113,,
5.5756,0.3215,0.4606,0.5107,,
5.6332,0.3206,0.4592,0.5069,,
5.6908,0.3194,0.4552,,,
5.7483,0.3182,0.4540,0.4986,,
5.8059,0.3144,0.4527,0.4986,,0.5152
5.8635,0.3135,0.4512,,,0.5152
5.9210,0.3124,0.4473,,0.5152,0.5069
5.9786,0.3113,0.4461,,,0.5069
6.0362,0.3100,0.4448,,,0.5016
6.0937,0.3081,0.4433,,0.5069,0.4986
6.1513,0.3055,0.4406,,,0.4986
6.2089,0.3044,0.4384,,,0.4986
6.2664,0.3033,0.4370,,0.4986,0.4903
6.3240,0.3018,0.4352,,,0.4874
6.3816,0.2998,0.4324,,,0.4864
6.4391,0.2974,0.4303,,0.4903,0.4803
6.4967,0.2963,0.4290,,0.4903,0.4793
6.5543,0.2951,0.4275,,0.4903,0.4782
6.6118,0.2938,0.4261,,0.4821,0.4738
6.6694,0.2915,0.4241,,0.4821,0.4712
6.7269,0.2894,0.4211,,0.4821,0.4699
6.7845,0.2882,0.4196,,,0.4689
6.8421,0.2870,0.4182,,,0.4629
6.8996,0.2857,0.4158,,0.4738,0.4572
6.9572,0.2832,0.4132,,0.4738,0.4572
7.0148,0.2813,0.4117,,,0.4489
7.0723,0.2801,0.4104,,,0.4489
7.1299,0.2789,0.4092,,0.4655,0.4489
7.1875,0.2777,0.4054,,0.4655,0.4406
7.2450,0.2767,0.4040,,,0.4406
7.3026,0.2750,0.4027,,0.4572,0.4406
7.3602,0.2719,0.4013,,0.4572,0.4377
7.4177,0.2707,0.3972,,,0.4324
7.4753,0.2696,0.3959,,,0.4324
7.5329,0.2687,0.3946,,0.4489,0.4294
7.5904,0.2667,0.3937,,0.4489,0.4277
7.6480,0.2648,0.3929,,,0.4241
