experimentId	time	conditionId
doseresponse_0	0	cond_doseresponse_0
doseresponse_1	0	cond_doseresponse_1
doseresponse_2	0	cond_doseresponse_2
doseresponse_3	0	cond_doseresponse_3
doseresponse_4	0	cond_doseresponse_4
doseresponse_5	0	cond_doseresponse_5
