# Digitized from Fig. 1 of Rana et al. (2020), IEEE BIBE 2020, doi:10.1109/BIBE50027.2020.00020
# 600 dpi rasterization of PDF page 4; colour separation; 0.5 h bins. See digitize_rana2020.py for method and caveats.
# spread_au is the half-height of the marker cloud in the bin (digitization uncertainty); n_px_cols is the number of pixel columns merged into the bin.
curve,time_h,ThT_au,spread_au,n_px_cols
removal_5h,8.7701,0.82869,0.05432,7
removal_5h,9.2593,0.87047,0.0571,7
removal_5h,9.7484,0.91365,0.05432,7
removal_5h,10.2376,0.93315,0.0585,7
removal_5h,10.7268,0.96379,0.05432,7
removal_5h,11.2509,0.99025,0.04944,8
removal_5h,11.775,1.02089,0.04178,7
removal_5h,12.2642,1.04875,0.03203,7
removal_5h,12.7533,1.07382,0.03482,7
removal_5h,13.2425,1.09889,0.04039,7
removal_5h,13.7317,1.11699,0.04875,7
removal_5h,14.2208,1.14067,0.0571,7
removal_5h,14.7449,1.16226,0.06128,8
removal_5h,15.269,1.18663,0.08914,7
removal_5h,15.7582,1.20474,0.09192,7
removal_5h,16.2474,1.14763,0.07799,7
removal_5h,16.7365,1.14067,0.05153,7
removal_5h,17.2257,1.15599,0.06825,7
removal_5h,17.7498,1.0961,0.0773,8
removal_5h,18.2739,1.08496,0.02786,7
removal_5h,18.7631,1.10446,0.03482,7
removal_5h,19.2523,1.11978,0.06128,7
removal_5h,19.7414,1.12674,0.0585,7
removal_5h,20.2306,1.11978,0.039,7
removal_5h,20.7547,1.12326,0.0376,8
removal_5h,21.2788,1.10167,0.04318,7
removal_5h,21.768,1.09331,0.03482,7
removal_5h,22.2572,1.10724,0.02925,7
removal_5h,22.7463,1.12256,0.03064,7
removal_5h,23.2355,1.14763,0.10446,7
removal_5h,23.7247,1.11281,0.11838,7
removal_5h,24.2488,1.0961,0.02368,8
removal_5h,24.7729,1.10585,0.02507,7
removal_5h,25.1572,1.11281,0.01741,4
