CaM4_uM,FP
0.00999979,0.00199806
0.0199993,0.00748543
0.0499975,0.0389197
0.100004,0.116925
0.200004,0.280289
0.500003,0.545982
0.99999,0.641994
2.00015,0.661474
5.00031,0.664617
9.99995,0.665095
20.0016,0.665284
