CaM4_uM,FP
0.0001,4.95531e-06
0.0002,4.95531e-06
0.0005,5.10296e-05
0.001,0.000215267
0.002,0.000841815
0.005,0.00484746
0.01,0.0167867
0.02,0.0509055
0.05,0.156922
0.1,0.268198
0.2,0.364761
0.5,0.442566
1,0.471688
2,0.486338
