CaM4_uM,FP
0.001,0.00015446
0.002,0.00058782
0.005,0.00348263
0.01,0.0126776
0.02,0.0414075
0.05,0.14349
0.1,0.259883
0.2,0.361825
0.5,0.442183
1,0.471645
