CaM4_uM,FP
0.0001,4.95531e-06
0.0002,2.53283e-05
0.0005,0.000143492
0.001,0.000605488
0.002,0.00258261
0.005,0.0185789
0.01,0.0818969
0.02,0.287142
0.05,0.670298
0.1,0.81332
0.2,0.869053
0.5,0.89531
1,0.902643
2,0.905996
