Ca_uM,Frac_pT305
0.500017,0.00318719
1.00003,0.00318422
2.00002,0.00316753
3.00013,0.00360992
4.00011,0.00560254
5.00008,0.00758059
6.99987,0.00862873
9.99994,0.00813825
20.0006,0.00601905
49.9979,0.00427875
99.9975,0.00385997
