CaM4_uM,FP
0.01,2.35917e-05
0.02,0.000102135
0.05,0.000617593
0.1,0.00234204
0.2,0.00867763
0.5,0.0436099
1,0.12441
2,0.27581
5,0.485291
10,0.565659
20,0.600779
50,0.620009
100,0.626136
200,0.629152
500,0.630934
1000,0.631533
