CaM4_uM,FP
0.01,3.33163e-05
0.02,0.000132355
0.05,0.000758434
0.1,0.0028978
0.2,0.010583
0.5,0.0512906
1,0.139869
2,0.293817
5,0.492037
10,0.567299
20,0.601151
50,0.620064
100,0.626143
200,0.629143
500,0.630927
1000,0.631522
