Ca_uM,Frac_pT286
0.499989,7.64178e-07
1,1.12408e-05
1.99999,0.00350356
2.99995,0.0623845
4.00008,0.2969
4.99986,0.629958
6.99992,0.945808
9.99981,0.994241
19.999,0.999025
