CaM4_uM,FP
0.0001,2.53283e-05
0.0002,9.2089e-05
0.0005,0.000549071
0.001,0.00220273
0.002,0.00855002
0.005,0.0481529
0.01,0.154386
0.02,0.374637
0.05,0.687907
0.1,0.813885
0.2,0.868576
0.5,0.895197
1,0.902612
2,0.905996
