CaM4_uM,FP
0.0001,0.000253314
0.0002,0.00126194
0.0005,0.0197048
0.001,0.336814
0.002,0.661709
0.005,0.858361
0.01,0.924186
0.02,0.957131
0.05,0.976911
0.1,0.98351
0.2,0.986807
0.5,0.988781
1,0.989445
