CaM4_uM,FP
0.0001,0.000225611
0.0002,0.000908889
0.0005,0.00575641
0.001,0.0232678
0.002,0.0908889
0.005,0.408129
0.01,0.744768
0.02,0.913702
0.05,0.971774
0.1,0.982474
0.2,0.986584
0.5,0.988749
1,0.989429
2,0.989768
