Ca_uM,Frac_pT305
0.500017,0.00318719
1.00003,0.00318436
2.00002,0.00317644
3.00013,0.00388628
4.00011,0.0066521
5.00008,0.00827841
6.99987,0.00882687
9.99994,0.00820741
20.0006,0.00604041
49.9979,0.00428837
99.9975,0.00386804
