CaM4_uM,FP
0.01,2.89975e-05
0.02,0.000102135
0.05,0.000617593
0.1,0.00234204
0.2,0.0086929
0.5,0.043662
1,0.12452
2,0.275904
5,0.485291
10,0.565654
20,0.600779
50,0.620009
100,0.626136
200,0.629152
500,0.630934
1000,0.631533
