CaM4_uM,FP
0.0001,3.56715e-05
0.0002,0.000122805
0.0005,0.000908889
0.001,0.00443624
0.002,0.0260567
0.005,0.283694
0.01,0.741487
0.02,0.925131
0.05,0.973297
0.1,0.98271
0.2,0.986613
0.5,0.988749
1,0.989429
2,0.989768
