CaM4_uM,FP
0.001,5.40157e-05
0.002,0.000205281
0.005,0.00129598
0.01,0.00490119
0.02,0.0179138
0.05,0.0864303
0.1,0.235527
0.2,0.500134
0.5,0.857911
1,0.97038
2,0.992194
5,0.996233
10,0.996958
20,0.997261
