Ca_uM,Frac_pT305
0.5,0.00498725
0.999994,0.00498223
2.00001,0.00491376
3.00007,0.00489218
4,0.00541475
4.9999,0.00632143
7.00009,0.00733042
10.0001,0.00741043
20.0001,0.00630907
50.0009,0.00501886
99.9973,0.00465807
