Ca_uM,Frac_pT286
0.499989,7.64178e-07
1,1.68065e-05
1.99999,0.00421139
2.99995,0.0816091
4.00008,0.392321
4.99986,0.742303
6.99992,0.966782
9.99981,0.996139
19.999,0.999561
