CaM4_uM,FP
0.00999979,0.00198227
0.0199993,0.00742275
0.0499975,0.0381748
0.100004,0.113546
0.200004,0.271125
0.500003,0.534067
0.99999,0.62463
2.00015,0.632814
5.00031,0.627108
9.99995,0.625085
20.0016,0.624403
