CaM4_uM,FP
0.001,2.89975e-05
0.002,9.6729e-05
0.005,0.000529193
0.01,0.00201897
0.02,0.00772399
0.05,0.0419999
0.1,0.134372
0.2,0.353845
0.5,0.782662
1,0.95721
2,0.991121
5,0.99617
10,0.996956
20,0.997264
