Ca_uM,Frac_pT286
0.499974,-1.82628e-05
0.999986,-7.77315e-06
1.99994,0.00252188
2.99998,0.0525661
4.00002,0.261551
4.99996,0.496864
7.00015,0.703926
10.0002,0.786946
20.0005,0.835551
