CaM4_uM,FP
0.001,0.000577616
0.002,0.00234358
0.005,0.015499
0.01,0.0662765
0.02,0.255609
0.05,0.666379
0.1,0.81332
0.2,0.869077
0.5,0.895315
1,0.90265
