CaM4_uM,FP
0.0001,4.95531e-06
0.0002,4.95531e-06
0.0005,3.56715e-05
0.001,0.000148507
0.002,0.000595459
0.005,0.00352227
0.01,0.0128634
0.02,0.042078
0.05,0.144649
0.1,0.260475
0.2,0.361958
0.5,0.442185
1,0.471647
2,0.486338
