CaM4_uM,FP
0.001,0.000227484
0.002,0.000864929
0.005,0.00516983
0.01,0.0187749
0.02,0.0600749
0.05,0.186572
0.1,0.301925
0.2,0.388543
0.5,0.452257
1,0.475615
