CaM4_uM,FP
0.0001,4.95531e-06
0.0002,2.53283e-05
0.0005,0.000138477
0.001,0.000564742
0.002,0.00234127
0.005,0.0154878
0.01,0.0662805
0.02,0.255612
0.05,0.666386
0.1,0.813315
0.2,0.869079
0.5,0.89531
1,0.902643
2,0.905996
