CaM4_uM,FP
0.0001,3.03432e-05
0.0002,0.000118104
0.0005,0.000821129
0.001,0.00363574
0.002,0.018004
0.005,0.213493
0.01,0.741607
0.02,0.927478
0.05,0.973374
0.1,0.98271
0.2,0.986613
0.5,0.988749
1,0.989429
2,0.989768
