CaM4_uM,FP
0.00999979,0.00198227
0.0199993,0.00742275
0.0499975,0.038214
0.100004,0.113852
0.200004,0.27227
0.500003,0.534577
0.99999,0.625705
2.00015,0.637141
5.00031,0.634155
9.99995,0.632932
20.0016,0.632509
