Ca_uM,Frac_pT286
0.499974,-1.82628e-05
0.999986,2.71652e-06
1.99994,0.00301587
2.99998,0.0736946
4.00002,0.353176
4.99996,0.561908
7.00015,0.723851
10.0002,0.794594
20.0005,0.838833
