CaM4_uM,FP
0.0001,4.95531e-06
0.0002,2.53283e-05
0.0005,0.000138477
0.001,0.000569757
0.002,0.00235161
0.005,0.0158113
0.01,0.0690945
0.02,0.263618
0.05,0.667099
0.1,0.81331
0.2,0.869079
0.5,0.89531
1,0.902643
2,0.905996
