CaM4_uM,FP
0.00999979,0.00122967
0.0199993,0.00462428
0.0499975,0.0248724
0.100004,0.078193
0.200004,0.200104
0.500003,0.41867
0.99999,0.491666
2.00015,0.499795
5.00031,0.499999
9.99995,0.500007
20.0016,0.500007
