CaM4_uM,FP
0.001,0.00254193
0.002,0.0116278
0.005,0.10416
0.01,0.371845
0.02,0.620383
0.05,0.790541
0.1,0.849417
0.2,0.879176
0.5,0.897122
1,0.90313
