CaM4_uM,FP
0.001,2.89975e-05
0.002,9.6729e-05
0.005,0.000529193
0.01,0.00206062
0.02,0.00782288
0.05,0.0424063
0.1,0.134997
0.2,0.35336
0.5,0.779442
1,0.955996
2,0.991033
5,0.99617
10,0.996956
20,0.997264
