time_h,pERK_IF_source_model,pERK_fraction_source_model
0.0,0.1179746238958,0.0194291900423
0.01,0.2330787295209,0.07999236296953
0.02,0.5490551655614,0.2462465155293
0.03,0.9269533555762,0.4450814163911
0.04,1.253769556619,0.6170390193949
0.05,1.488041270641,0.7403034177516
0.06,1.638065700128,0.8192402672841
0.07,1.727506877215,0.8663006344649
0.08,1.777736151086,0.8927292677702
0.09,1.803437141491,0.906252100147
0.1,1.813468241118,0.9115300632403
0.11,1.812782762325,0.9111693917383
0.12,1.804057177894,0.9065783384835
0.13,1.788801707302,0.8985515205123
0.14,1.768031716906,0.887623182959
0.15,1.742624366008,0.8742548519363
0.16,1.713465715007,0.8589127369591
0.17,1.681468939611,0.8420773145308
0.18,1.647527552875,0.8242187154551
0.19,1.612452546736,0.8057636512271
0.2,1.576924393441,0.7870701591048
0.21,1.541471802123,0.7684164246695
0.22,1.506475149281,0.7500025868099
0.23,1.472185891736,0.7319609520396
0.24,1.43875283654,0.7143698166732
0.25,1.406248525226,0.6972673491609
0.26,1.374692055832,0.680663598126
0.27,1.344067054712,0.6645499484116
0.28,1.314334905459,0.6489060816099
0.29,1.285444062958,0.633704876745
0.3,1.257336286035,0.6189156896422
0.31,1.229950806388,0.6045065464535
0.32,1.203226893196,0.5904454930519
0.33,1.177105447181,0.5767014337631
0.34,1.15152996489,0.5632446387316
0.35,1.126447047107,0.5500470114274
0.36,1.101806658489,0.5370822252561
0.37,1.077562195799,0.5243257594597
0.38,1.053670492375,0.5117549014687
0.39,1.030091682917,0.4993486757578
0.4,1.006789093532,0.487087785993
0.41,0.9837291488466,0.4749545661561
0.42,0.9608811016776,0.4629328383105
0.43,0.9382170472238,0.4510079200666
0.44,0.9157117246809,0.4391665202004
0.45,0.8933423279118,0.4273966390354
0.46,0.871088418725,0.4156875228135
0.47,0.8489318184815,0.4040296066624
0.48,0.826856504119,0.3924144598881
0.49,0.804848521946,0.3808347406167
0.5,0.7828959194246,0.3692841599012
0.51,0.7609886772092,0.357757445963
0.52,0.739118674191,0.3462503257998
0.53,0.7172796484926,0.3347595046622
0.54,0.6954671830517,0.323282658469
0.55,0.6736787040933,0.3118184330028
0.56,0.6519134822626,0.3003664445062
0.57,0.6301726833836,0.2889273063891
0.58,0.6084593976247,0.2775026445745
0.59,0.5867787093551,0.266095134254
0.6,0.5651377777264,0.2547085422866
0.61,0.543545960815,0.2433477925173
