TNF_conc_nM,TNFR1_conc_nM,Frac_TNF_0R,Frac_TNF_1R,Frac_TNF_2R,Frac_TNF_3R
5000,1000,0.973,0.027,0,0
5000,2000,0.767,0.233,0,0
5000,4000,0.421,0.525,0.054,0
5000,6000,0.121,0.547,0.332,0
5000,8000,0,0.331,0.669,0
5000,10000,0,0,0.720,0.280
5000,23000,0,0,0,1
