observableId	experimentId	time	measurement	noiseParameters
func_pct_C1	mut_A2	0.1	0.4571
func_pct_C1	mut_A2	1	6.6663
func_pct_C1	mut_A2	5	12.1558
func_pct_C1	mut_A2	10	16.4701
func_pct_C1	mut_A2	30	26.7958
func_pct_C1	mut_A2	60	37.1223
func_pct_C1	mut_A2	180	53.5901
func_pct_C2	mut_A2	0.1	0.3264
func_pct_C2	mut_A2	1	2.9409
func_pct_C2	mut_A2	5	5.6199
func_pct_C2	mut_A2	10	8.5612
func_pct_C2	mut_A2	30	16.7315
func_pct_C2	mut_A2	60	27.5808
func_pct_C2	mut_A2	180	47.3174
func_pct_A1	mut_B1	0.1	1.4359
func_pct_A1	mut_B1	1	32.3285
func_pct_A1	mut_B1	5	56.3687
func_pct_A1	mut_B1	10	58.2581
func_pct_A1	mut_B1	30	73.8699
func_pct_A1	mut_B1	60	86.0859
func_pct_A1	mut_B1	180	93.008
func_pct_A2	mut_B1	0.1	0.3258
func_pct_A2	mut_B1	1	3.9784
func_pct_A2	mut_B1	5	7.5134
func_pct_A2	mut_B1	10	15.4804
func_pct_A2	mut_B1	30	18.4843
func_pct_A2	mut_B1	60	35.6633
func_pct_A2	mut_B1	180	48.4018
func_pct_B2	mut_B1	0.1	2.0889
func_pct_B2	mut_B1	1	13.2601
func_pct_B2	mut_B1	5	22.7943
func_pct_B2	mut_B1	10	35.4021
func_pct_B2	mut_B1	30	53.626
func_pct_B2	mut_B1	60	65.7723
func_pct_B2	mut_B1	180	86.1555
func_pct_C1	mut_B1	0.1	0.3258
func_pct_C1	mut_B1	1	5.2235
func_pct_C1	mut_B1	5	16.5252
func_pct_C1	mut_B1	10	20.5044
func_pct_C1	mut_B1	30	22.9249
func_pct_C1	mut_B1	60	35.2715
func_pct_C1	mut_B1	180	64.4662
func_pct_C2	mut_B1	0.1	0.3214
func_pct_C2	mut_B1	1	3.395
func_pct_C2	mut_B1	5	8.4277
func_pct_C2	mut_B1	10	13.1295
func_pct_C2	mut_B1	30	23.8392
func_pct_C2	mut_B1	60	32.6594
func_pct_C2	mut_B1	180	59.6948
func_pct_A1	mut_B2	0.1	2.8091
func_pct_A1	mut_B2	1	11.5611
func_pct_A1	mut_B2	5	27.7601
func_pct_A1	mut_B2	10	49.3782
func_pct_A1	mut_B2	30	79.495
func_pct_A1	mut_B2	60	94.5752
func_pct_A1	mut_B2	180	93.7916
func_pct_A2	mut_B2	0.1	0.2615
func_pct_A2	mut_B2	1	0.3921
func_pct_A2	mut_B2	5	1.7634
func_pct_A2	mut_B2	10	8.2952
func_pct_A2	mut_B2	30	22.8608
func_pct_A2	mut_B2	60	38.9292
func_pct_A2	mut_B2	180	78.0497
func_pct_B1	mut_B2	0.1	1.3716
func_pct_B1	mut_B2	1	3.7886
func_pct_B1	mut_B2	5	15.2189
func_pct_B1	mut_B2	10	21.816
func_pct_B1	mut_B2	30	45.0692
func_pct_B1	mut_B2	60	57.8064
func_pct_B1	mut_B2	180	89.8735
func_pct_C1	mut_B2	0.1	0.6533
func_pct_C1	mut_B2	1	1.894
func_pct_C1	mut_B2	5	7.1851
func_pct_C1	mut_B2	10	7.7075
func_pct_C1	mut_B2	30	19.3337
func_pct_C1	mut_B2	60	34.4879
func_pct_C1	mut_B2	180	76.2213
func_pct_C2	mut_B2	0.1	3.3315
func_pct_C2	mut_B2	1	1.4369
func_pct_C2	mut_B2	5	4.7028
func_pct_C2	mut_B2	10	10.0592
func_pct_C2	mut_B2	30	22.469
func_pct_C2	mut_B2	60	46.2447
func_pct_C2	mut_B2	180	78.3806
func_pct_A1	mut_C1	0.1	0.4226
func_pct_A1	mut_C1	1	7.706
func_pct_A1	mut_C1	5	31.8067
func_pct_A1	mut_C1	10	42.7774
func_pct_A1	mut_C1	30	74.5229
func_pct_A1	mut_C1	60	90.7918
func_pct_A1	mut_C1	180	97.5179
func_pct_A2	mut_C1	0.1	0.2267
func_pct_A2	mut_C1	1	1.3064
func_pct_A2	mut_C1	5	4.6324
func_pct_A2	mut_C1	10	16.3955
func_pct_A2	mut_C1	30	29.6561
func_pct_A2	mut_C1	60	59.1726
func_pct_A2	mut_C1	180	90.0735
func_pct_B1	mut_C1	0.1	0.4531
func_pct_B1	mut_C1	1	3.1958
func_pct_B1	mut_C1	5	7.3751
func_pct_B1	mut_C1	10	22.203
func_pct_B1	mut_C1	30	35.7249
func_pct_B1	mut_C1	60	61.4625
func_pct_B1	mut_C1	180	85.2411
func_pct_B2	mut_C1	0.1	0.4226
func_pct_B2	mut_C1	1	6.7918
func_pct_B2	mut_C1	5	19.3994
func_pct_B2	mut_C1	10	41.2799
func_pct_B2	mut_C1	30	60.6789
func_pct_B2	mut_C1	60	83.8654
func_pct_B2	mut_C1	180	95.0712
func_pct_C2	mut_C1	0.1	0.7796
func_pct_C2	mut_C1	1	2.0204
