experimentId	time	conditionId
mut_A1	0	cond_mutA1
mut_A2	0	cond_mutA2
mut_B1	0	cond_mutB1
mut_B2	0	cond_mutB2
mut_C1	0	cond_mutC1
mut_C2	0	cond_mutC2
