Stot_molecules,R_active_MAPK_molecules
1.039055953554048450e+01,0.000000000000000000e+00
1.059152273220776941e+01,0.000000000000000000e+00
1.079637274616112919e+01,0.000000000000000000e+00
1.100518475210352420e+01,0.000000000000000000e+00
1.121803537868739298e+01,0.000000000000000000e+00
1.143500273663540234e+01,1.479289940828402337e+02
1.165616644740508079e+01,1.479289940828402337e+02
1.188160767240785098e+01,1.479289940828402337e+02
1.211140914279319247e+01,1.479289940828402337e+02
1.234565518980883958e+01,1.479289940828402337e+02
1.258443177574820027e+01,1.479289940828402337e+02
1.282782652549630953e+01,1.479289940828402337e+02
1.307592875868591342e+01,1.479289940828402337e+02
1.332882952247548580e+01,1.479289940828402337e+02
1.358662162496119841e+01,1.479289940828402337e+02
1.384939966923511712e+01,1.479289940828402337e+02
1.411726008810212107e+01,1.479289940828402337e+02
1.439030117946822607e+01,1.479289940828402337e+02
1.466862314241345899e+01,1.479289940828402337e+02
1.495232811396230588e+01,1.479289940828402337e+02
1.524152020656539896e+01,1.479289940828402337e+02
1.553630554630611194e+01,1.479289940828402337e+02
1.583679231184610892e+01,1.479289940828402337e+02
1.614309077412414695e+01,1.479289940828402337e+02
1.645531333682268382e+01,1.479289940828402337e+02
1.677357457761712922e+01,1.479289940828402337e+02
1.709799129022294295e+01,1.479289940828402337e+02
1.742868252725591205e+01,1.479289940828402337e+02
1.776576964392141633e+01,1.479289940828402337e+02
1.810937634254867490e+01,1.479289940828402337e+02
1.845962871798633387e+01,1.479289940828402337e+02
1.881665530387603980e+01,1.479289940828402337e+02
1.918058711982098785e+01,1.479289940828402337e+02
1.955155771946676424e+01,1.479289940828402337e+02
1.992970323951209721e+01,2.958579881656804673e+02
2.031516244966755380e+01,2.958579881656804673e+02
2.070807680358045388e+01,2.958579881656804673e+02
2.110859049074472082e+01,2.958579881656804673e+02
2.151685048941475742e+01,2.958579881656804673e+02
2.193300662054267747e+01,2.958579881656804673e+02
2.235721160275874553e+01,2.958579881656804673e+02
2.278962110841523980e+01,2.958579881656804673e+02
2.323039382071413783e+01,2.958579881656804673e+02
2.367969149193987022e+01,2.958579881656804673e+02
2.413767900281820289e+01,2.958579881656804673e+02
2.460452442302326759e+01,2.958579881656804673e+02
2.508039907285480297e+01,2.958579881656804673e+02
2.556547758610831877e+01,2.958579881656804673e+02
2.605993797416121893e+01,2.958579881656804673e+02
2.656396169129843088e+01,2.958579881656804673e+02
2.707773370130144386e+01,2.958579881656804673e+02
2.760144254532530539e+01,2.958579881656804673e+02
2.813528041108836675e+01,2.958579881656804673e+02
2.867944320340026820e+01,2.958579881656804673e+02
2.923413061605396379e+01,2.958579881656804673e+02
2.979954620510823915e+01,4.437869822485207010e+02
3.037589746358755605e+01,4.437869822485207010e+02
3.096339589762666833e+01,4.437869822485207010e+02
3.156225710408796914e+01,4.437869822485207010e+02
3.217270084967999111e+01,4.437869822485207010e+02
3.279495115160616336e+01,4.437869822485207010e+02
3.342923635977339103e+01,4.437869822485207010e+02
3.407578924059058778e+01,5.917159763313609346e+02
3.473484706238800612e+01,5.917159763313609346e+02
3.540665168248863637e+01,5.917159763313609346e+02
3.609144963596361322e+01,5.917159763313609346e+02
3.678949222610428649e+01,5.917159763313609346e+02
3.750103561664408147e+01,5.917159763313609346e+02
3.822634092576404186e+01,5.917159763313609346e+02
3.896567432191645253e+01,5.917159763313609346e+02
3.971930712150189891e+01,5.917159763313609346e+02
4.048751588843540361e+01,5.917159763313609346e+02
4.127058253563826895e+01,5.917159763313609346e+02
4.206879442849293582e+01,5.917159763313609346e+02
4.288244449029868122e+01,5.917159763313609346e+02
4.371183130976696418e+01,5.917159763313609346e+02
4.455725925059584824e+01,5.917159763313609346e+02
4.541903856316362464e+01,5.917159763313609346e+02
4.629748549838281235e+01,5.917159763313609346e+02
4.719292242375608026e+01,5.917159763313609346e+02
4.810567794167688760e+01,5.917159763313609346e+02
4.903608701001811454e+01,5.917159763313609346e+02
4.998449106505303519e+01,5.917159763313609346e+02
5.095123814675368834e+01,5.917159763313609346e+02
5.193668302651251878e+01,5.917159763313609346e+02
5.294118733733456139e+01,5.917159763313609346e+02
5.396511970654733403e+01,5.917159763313609346e+02
5.500885589107767970e+01,5.917159763313609346e+02
5.607277891534491232e+01,5.917159763313609346e+02
5.715727921182095628e+01,5.917159763313609346e+02
5.826275476430905087e+01,5.917159763313609346e+02
5.938961125399361407e+01,5.917159763313609346e+02
6.053826220831481919e+01,5.917159763313609346e+02
6.170912915272258203e+01,5.917159763313609346e+02
6.290264176536557272e+01,5.917159763313609346e+02
6.411923803477209560e+01,5.917159763313609346e+02
6.535936442058064699e+01,5.917159763313609346e+02
6.662347601737913294e+01,5.917159763313609346e+02
6.791203672171296546e+01,5.917159763313609346e+02
6.922551940232315815e+01,5.917159763313609346e+02
7.056440607367702000e+01,5.917159763313609346e+02
7.192918807285516891e+01,5.917159763313609346e+02
7.332036623985960944e+01,5.917159763313609346e+02
7.473845110140905490e+01,7.396449704142011115e+02
7.618396305828939319e+01,7.396449704142011115e+02
7.765743257632720997e+01,7.396449704142011115e+02
7.915940038105728149e+01,7.396449704142011115e+02
8.069041765615489226e+01,7.396449704142011115e+02
8.225104624570617773e+01,7.396449704142011115e+02
8.384185886039045954e+01,7.396449704142011115e+02
8.546343928765037390e+01,7.396449704142011115e+02
8.711638260592695815e+01,7.396449704142011115e+02
8.880129540303809677e+01,7.396449704142011115e+02
9.051879599878074600e+01,7.396449704142011115e+02
9.226951467183847910e+01,7.396449704142011115e+02
9.405409389107752816e+01,7.396449704142011115e+02
