# Digitized from Fig. 2A of Smith GR, Shanley DP (2013), BMC Systems Biology 7:41,
# doi:10.1186/1752-0509-7-41. The published PDF page was rendered at 400 dpi with
# pdftoppm; the axis frame and tick marks were located by pixel run detection and
# used for a linear (or log) calibration; each plotted curve was then traced column
# by column, selecting at each column the colour-matched pixel run closest to the
# previous column's centre so that data markers, error bars and legend keys do not
# capture the trace.
time_min,fraction_active
-0.138728,0.00176211
0,0
0.138728,0.00176211
0.277457,0.00352423
0.416185,0.00528634
0.554913,0.00881057
0.693642,0.0140969
0.83237,0.0193833
0.971098,0.0264317
1.10983,0.0299559
1.24855,0.0352423
1.38728,0.0422907
1.52601,0.0511013
1.66474,0.0581498
1.80347,0.0651982
1.9422,0.0740088
2.08092,0.0792952
2.21965,0.0828194
2.35838,0.0881057
2.49711,0.0898678
2.63584,0.0933921
2.77457,0.0951542
2.91329,0.0969163
3.05202,0.0986784
3.19075,0.0986784
3.32948,0.0986784
3.46821,0.0986784
3.60694,0.0986784
3.74566,0.0986784
3.88439,0.0986784
4.02312,0.0986784
4.16185,0.0986784
4.30058,0.0986784
4.43931,0.0986784
4.57803,0.0986784
4.71676,0.0986784
4.85549,0.0986784
4.99422,0.0986784
5.13295,0.0986784
5.27168,0.0986784
5.4104,0.0986784
5.54913,0.0986784
5.68786,0.0986784
5.82659,0.0986784
5.96532,0.0986784
6.10405,0.0986784
6.24277,0.0986784
6.3815,0.0986784
6.52023,0.0969163
6.65896,0.0969163
6.79769,0.0969163
6.93642,0.0969163
7.07514,0.0969163
7.21387,0.0969163
7.3526,0.0969163
7.49133,0.0951542
7.63006,0.0951542
7.76879,0.0951542
7.90751,0.0951542
8.04624,0.0951542
8.18497,0.0951542
8.3237,0.0951542
8.46243,0.0951542
8.60116,0.0951542
8.73988,0.0951542
8.87861,0.0951542
9.01734,0.0951542
9.15607,0.0951542
9.2948,0.0951542
9.43353,0.0951542
9.57225,0.0951542
9.71098,0.0951542
9.84971,0.0951542
9.98844,0.0951542
10.1272,0.0951542
10.2659,0.0951542
10.4046,0.0951542
10.5434,0.0951542
10.6821,0.0951542
10.8208,0.0951542
10.9595,0.0951542
11.0983,0.0951542
11.237,0.0951542
11.3757,0.0933921
11.5145,0.0933921
11.6532,0.0933921
11.7919,0.0933921
11.9306,0.0933921
12.0694,0.0933921
12.2081,0.0933921
12.3468,0.0933921
12.4855,0.0933921
12.6243,0.09163
12.763,0.09163
12.9017,0.09163
13.0405,0.09163
13.1792,0.09163
13.3179,0.09163
13.4566,0.09163
13.5954,0.09163
13.7341,0.09163
13.8728,0.09163
14.0116,0.09163
14.1503,0.09163
14.289,0.09163
14.4277,0.09163
14.5665,0.09163
14.7052,0.09163
14.8439,0.09163
14.9827,0.09163
15.1214,0.09163
15.2601,0.09163
15.3988,0.09163
15.5376,0.09163
15.6763,0.09163
15.815,0.09163
15.9538,0.09163
16.0925,0.0898678
16.2312,0.0898678
16.3699,0.0898678
16.5087,0.0881057
16.6474,0.0881057
16.7861,0.0881057
16.9249,0.0881057
17.0636,0.0881057
17.2023,0.0881057
17.341,0.0881057
17.4798,0.0881057
17.6185,0.0863436
17.7572,0.0845815
17.896,0.0845815
18.0347,0.0845815
18.1734,0.0845815
18.3121,0.0845815
18.4509,0.0845815
18.5896,0.0828194
18.7283,0.0810573
18.8671,0.0810573
19.0058,0.0810573
19.1445,0.0810573
19.2832,0.0810573
19.422,0.0810573
19.5607,0.0792952
19.6994,0.077533
19.8382,0.077533
19.9769,0.077533
20.1156,0.077533
20.2543,0.077533
20.3931,0.0757709
20.5318,0.0740088
20.6705,0.0740088
20.8092,0.0740088
20.948,0.0740088
21.0867,0.0722467
21.2254,0.0722467
21.3642,0.0704846
21.5029,0.0704846
21.6416,0.0704846
21.7803,0.0704846
21.9191,0.0687225
22.0578,0.0669604
22.1965,0.0669604
22.3353,0.0669604
22.474,0.0669604
22.6127,0.0651982
22.7514,0.0634361
22.8902,0.0634361
23.0289,0.0634361
23.1676,0.0634361
23.3064,0.0634361
23.4451,0.061674
23.5838,0.0599119
23.7225,0.0599119
23.8613,0.0599119
24,0.0599119
24.1387,0.0581498
24.2775,0.0563877
24.4162,0.0563877
24.5549,0.0563877
24.6936,0.0563877
24.8324,0.0546256
24.9711,0.0546256
25.1098,0.0528634
25.2486,0.0528634
25.3873,0.0528634
25.526,0.0528634
25.6647,0.0511013
25.8035,0.0493392
25.9422,0.0493392
26.0809,0.0493392
26.2197,0.0493392
26.3584,0.0493392
26.4971,0.0475771
26.6358,0.045815
26.7746,0.045815
26.9133,0.045815
27.052,0.045815
27.1908,0.045815
27.3295,0.0440529
27.4682,0.0440529
27.6069,0.0422907
27.7457,0.0422907
27.8844,0.0422907
28.0231,0.0422907
28.1618,0.0422907
28.3006,0.0405286
28.4393,0.0405286
28.578,0.0387665
28.7168,0.0387665
28.8555,0.0387665
28.9942,0.0387665
29.1329,0.0387665
29.2717,0.0387665
29.4104,0.0370044
29.5491,0.0370044
29.6879,0.0352423
29.8266,0.0352423
29.9653,0.0352423
30.104,0.0352423
30.2428,0.0352423
30.3815,0.0352423
30.5202,0.0334802
30.659,0.0334802
30.7977,0.0317181
30.9364,0.0317181
31.0751,0.0317181
31.2139,0.0317181
31.3526,0.0317181
31.4913,0.0317181
31.6301,0.0299559
31.7688,0.0299559
31.9075,0.0281938
32.0462,0.0281938
32.185,0.0281938
32.3237,0.0281938
32.4624,0.0281938
32.6012,0.0281938
32.7399,0.0281938
32.8786,0.0264317
33.0173,0.0264317
33.1561,0.0246696
33.2948,0.0246696
33.4335,0.0246696
33.5723,0.0246696
33.711,0.0246696
33.8497,0.0246696
33.9884,0.0246696
34.1272,0.0246696
34.2659,0.0229075
34.4046,0.0229075
34.5434,0.0211454
34.6821,0.0211454
34.8208,0.0211454
34.9595,0.0211454
35.0983,0.0211454
35.237,0.0211454
35.3757,0.0211454
35.5145,0.0211454
35.6532,0.0211454
35.7919,0.0193833
35.9306,0.0193833
36.0694,0.0193833
36.2081,0.0176211
36.3468,0.0176211
36.4855,0.0176211
36.6243,0.0176211
36.763,0.0176211
36.9017,0.0176211
37.0405,0.0176211
37.1792,0.0176211
37.3179,0.0176211
37.4566,0.0176211
37.5954,0.015859
37.7341,0.015859
37.8728,0.015859
38.0116,0.0140969
38.1503,0.0140969
38.289,0.0140969
38.4277,0.0140969
38.5665,0.0140969
38.7052,0.0140969
38.8439,0.0140969
38.9827,0.0140969
39.1214,0.0140969
39.2601,0.0140969
39.3988,0.0140969
39.5376,0.0140969
39.6763,0.0123348
39.815,0.0123348
39.9538,0.0123348
40.0925,0.0123348
40.2312,0.0105727
40.3699,0.0105727
40.5087,0.0105727
40.6474,0.0105727
40.7861,0.0105727
40.9249,0.0105727
41.0636,0.0105727
41.2023,0.0105727
41.341,0.0105727
41.4798,0.0105727
41.6185,0.0105727
41.7572,0.0105727
41.896,0.0105727
42.0347,0.0105727
42.1734,0.0105727
42.3121,0.00881057
42.4509,0.00881057
42.5896,0.00881057
42.7283,0.00881057
42.8671,0.00881057
43.0058,0.00704846
43.1445,0.00704846
43.2832,0.00704846
43.422,0.00704846
43.5607,0.00704846
43.6994,0.00704846
43.8382,0.00704846
43.9769,0.00704846
44.1156,0.00704846
44.2543,0.00704846
44.3931,0.00704846
44.5318,0.00704846
44.6705,0.00704846
44.8092,0.00704846
44.948,0.00704846
45.0867,0.00704846
45.2254,0.00704846
45.3642,0.00704846
45.5029,0.00704846
45.6416,0.00704846
45.7803,0.00704846
45.9191,0.00704846
46.0578,0.00704846
46.1965,0.00528634
46.3353,0.00528634
46.474,0.00528634
46.6127,0.00528634
46.7514,0.00528634
46.8902,0.00528634
47.0289,0.00528634
47.1676,0.00528634
47.3064,0.00352423
47.4451,0.00352423
47.5838,0.00352423
47.7225,0.00352423
47.8613,0.00352423
48,0.00352423
48.1387,0.00352423
48.2775,0.00352423
48.4162,0.00352423
48.5549,0.00352423
48.6936,0.00352423
48.8324,0.00352423
48.9711,0.00352423
49.1098,0.00352423
49.2486,0.00352423
49.3873,0.00352423
49.526,0.00352423
49.6647,0.00352423
49.8035,0.00352423
49.9422,0.00352423
50.0809,0.00352423
50.2197,0.00352423
50.3584,0.00352423
50.4971,0.00352423
50.6358,0.00352423
50.7746,0.00352423
50.9133,0.00352423
51.052,0.00352423
51.1908,0.00352423
51.3295,0.00352423
51.4682,0.00352423
51.6069,0.00352423
51.7457,0.00352423
51.8844,0.00352423
52.0231,0.00352423
52.1618,0.00352423
52.3006,0.00352423
52.4393,0.00352423
52.578,0.00352423
52.7168,0.00352423
52.8555,0.00352423
52.9942,0.00352423
53.1329,0.00352423
53.2717,0.00352423
53.4104,0.00352423
53.5491,0.00352423
53.6879,0.00352423
53.8266,0.00352423
53.9653,0.00176211
54.104,0.00176211
54.2428,0.00176211
54.3815,0.00176211
54.5202,0.00176211
54.659,0.00176211
54.7977,0.00176211
54.9364,0.00176211
55.0751,0.00176211
55.2139,0.00176211
55.3526,0.00176211
55.4913,0.00176211
55.6301,0.00176211
55.7688,0.00176211
55.9075,0.00176211
56.0462,0.00176211
56.185,0.00176211
56.3237,0.00176211
56.4624,0.00176211
56.6012,0.00176211
56.7399,0.00176211
56.8786,0.00176211
57.0173,0.00176211
57.1561,0.00176211
57.2948,0.00176211
57.4335,0.00176211
