# Digitized from Fig. 2A of Smith GR, Shanley DP (2013), BMC Systems Biology 7:41,
# doi:10.1186/1752-0509-7-41. The published PDF page was rendered at 400 dpi with
# pdftoppm; the axis frame and tick marks were located by pixel run detection and
# used for a linear (or log) calibration; each plotted curve was then traced column
# by column, selecting at each column the colour-matched pixel run closest to the
# previous column's centre so that data markers, error bars and legend keys do not
# capture the trace.
time_min,fraction_active
-0.138728,0.0405286
0,0.0422907
0.138728,0.0422907
0.277457,0.0422907
0.416185,0.0440529
0.554913,0.0475771
0.693642,0.0475771
0.83237,0.0528634
0.971098,0.0563877
1.10983,0.061674
1.24855,0.0669604
1.38728,0.0757709
1.52601,0.0845815
1.66474,0.09163
1.80347,0.0969163
1.9422,0.103965
2.08092,0.107489
2.35838,0.170925
2.49711,0.176211
2.63584,0.181498
2.77457,0.190308
2.91329,0.199119
3.05202,0.209692
3.19075,0.222026
3.32948,0.232599
3.46821,0.239648
3.60694,0.244934
3.74566,0.248458
4.30058,0.306608
4.43931,0.30837
4.57803,0.311894
4.71676,0.315419
4.85549,0.320705
4.99422,0.325991
5.13295,0.331278
5.27168,0.338326
5.4104,0.343612
5.54913,0.348899
5.68786,0.354185
5.82659,0.357709
5.96532,0.362996
6.10405,0.36652
6.24277,0.371806
6.3815,0.373568
6.52023,0.377093
6.65896,0.380617
6.79769,0.380617
8.18497,0.415859
8.3237,0.415859
8.46243,0.417621
8.60116,0.419383
8.73988,0.421145
8.87861,0.422907
9.01734,0.42467
9.15607,0.426432
9.2948,0.428194
9.43353,0.429956
9.57225,0.431718
9.71098,0.43348
9.84971,0.43348
9.98844,0.435242
10.1272,0.437004
10.2659,0.437004
10.4046,0.438767
10.5434,0.440529
10.6821,0.440529
10.8208,0.440529
10.9595,0.442291
11.0983,0.444053
11.237,0.444053
11.3757,0.444053
11.5145,0.445815
11.6532,0.447577
11.7919,0.447577
11.9306,0.447577
13.8728,0.454626
14.0116,0.454626
14.1503,0.454626
14.289,0.454626
14.4277,0.454626
14.5665,0.456388
14.7052,0.456388
14.8439,0.456388
14.9827,0.45815
15.1214,0.45815
15.2601,0.45815
15.3988,0.45815
15.5376,0.45815
15.6763,0.45815
15.815,0.45815
15.9538,0.45815
16.0925,0.45815
16.2312,0.45815
16.3699,0.45815
16.5087,0.45815
16.6474,0.45815
16.7861,0.45815
16.9249,0.45815
17.0636,0.45815
17.2023,0.45815
17.341,0.45815
17.4798,0.45815
17.6185,0.459912
17.7572,0.45815
19.6994,0.459912
19.8382,0.45815
19.9769,0.45815
20.1156,0.45815
20.2543,0.45815
20.3931,0.45815
20.5318,0.45815
20.6705,0.45815
20.8092,0.45815
20.948,0.45815
21.0867,0.45815
21.2254,0.45815
21.3642,0.45815
21.5029,0.45815
21.6416,0.45815
21.7803,0.45815
21.9191,0.45815
22.0578,0.45815
22.1965,0.45815
22.3353,0.456388
22.474,0.456388
22.6127,0.456388
22.7514,0.454626
22.8902,0.454626
23.0289,0.454626
23.1676,0.454626
23.3064,0.454626
23.4451,0.454626
23.5838,0.454626
25.526,0.449339
25.6647,0.449339
25.8035,0.449339
25.9422,0.447577
26.0809,0.447577
26.2197,0.447577
26.3584,0.447577
26.4971,0.447577
26.6358,0.447577
26.7746,0.447577
26.9133,0.445815
27.052,0.444053
27.1908,0.444053
27.3295,0.444053
27.4682,0.444053
27.6069,0.444053
27.7457,0.444053
27.8844,0.444053
28.0231,0.442291
28.1618,0.440529
28.3006,0.440529
28.4393,0.440529
28.578,0.440529
28.7168,0.440529
28.8555,0.440529
28.9942,0.438767
29.1329,0.437004
29.2717,0.437004
29.4104,0.438767
31.3526,0.428194
31.4913,0.426432
31.6301,0.426432
31.7688,0.426432
31.9075,0.426432
32.0462,0.426432
32.185,0.42467
32.3237,0.422907
32.4624,0.422907
32.6012,0.422907
32.7399,0.422907
32.8786,0.421145
33.0173,0.419383
33.1561,0.419383
33.2948,0.419383
33.4335,0.419383
33.5723,0.417621
33.711,0.415859
33.8497,0.415859
33.9884,0.415859
34.1272,0.414097
34.2659,0.412335
34.4046,0.412335
34.5434,0.412335
34.6821,0.410573
34.8208,0.408811
34.9595,0.408811
35.0983,0.408811
37.0405,0.392952
37.1792,0.394714
37.3179,0.392952
37.4566,0.391189
37.5954,0.391189
37.7341,0.389427
37.8728,0.387665
38.0116,0.387665
38.1503,0.385903
38.289,0.384141
38.4277,0.384141
38.5665,0.384141
38.7052,0.380617
38.8439,0.380617
38.9827,0.380617
39.1214,0.377093
39.2601,0.377093
39.3988,0.377093
39.5376,0.37533
39.6763,0.373568
39.815,0.373568
39.9538,0.370044
40.0925,0.370044
40.2312,0.368282
40.3699,0.36652
40.5087,0.36652
40.6474,0.36652
40.7861,0.364758
42.5896,0.343612
42.7283,0.345374
42.8671,0.343612
43.0058,0.34185
43.1445,0.340088
43.2832,0.338326
43.422,0.338326
43.5607,0.336564
43.6994,0.334802
43.8382,0.33304
43.9769,0.331278
44.1156,0.329515
44.2543,0.329515
44.3931,0.327753
44.5318,0.325991
44.6705,0.324229
44.8092,0.322467
44.948,0.320705
45.0867,0.318943
45.2254,0.318943
45.3642,0.317181
45.5029,0.315419
45.6416,0.313656
45.7803,0.311894
45.9191,0.310132
46.0578,0.310132
46.1965,0.30837
48,0.2837
48.1387,0.2837
48.2775,0.281938
48.4162,0.280176
48.5549,0.280176
48.6936,0.278414
48.8324,0.276652
48.9711,0.27489
49.1098,0.273128
49.2486,0.271366
49.3873,0.269604
49.526,0.267841
49.6647,0.266079
49.8035,0.264317
49.9422,0.262555
50.0809,0.260793
50.2197,0.259031
50.3584,0.257269
50.4971,0.255507
50.6358,0.255507
50.7746,0.251982
50.9133,0.251982
51.052,0.248458
51.1908,0.248458
51.3295,0.246696
51.4682,0.246696
53.2717,0.220264
53.4104,0.220264
53.5491,0.218502
53.6879,0.218502
53.8266,0.21674
53.9653,0.214978
54.104,0.213216
54.2428,0.211454
54.3815,0.209692
54.5202,0.20793
54.659,0.206167
54.7977,0.206167
54.9364,0.202643
55.0751,0.202643
55.2139,0.200881
55.3526,0.199119
55.4913,0.197357
55.6301,0.195595
55.7688,0.193833
55.9075,0.19207
56.0462,0.19207
56.185,0.190308
56.3237,0.188546
56.4624,0.186784
56.6012,0.185022
56.7399,0.18326
56.8786,0.185022
58.6821,0.162115
58.8208,0.162115
58.9595,0.162115
59.0983,0.160352
59.237,0.15859
59.3757,0.156828
59.5145,0.155066
59.6532,0.155066
59.7919,0.153304
59.9306,0.151542
60.0694,0.151542
60.2081,0.151542
