# Digitized from Fig. 2C of Smith GR, Shanley DP (2013), BMC Systems Biology 7:41,
# doi:10.1186/1752-0509-7-41. The published PDF page was rendered at 400 dpi with
# pdftoppm; the axis frame and tick marks were located by pixel run detection and
# used for a linear (or log) calibration; each plotted curve was then traced column
# by column, selecting at each column the colour-matched pixel run closest to the
# previous column's centre so that data markers, error bars and legend keys do not
# capture the trace.
# Restricted to t >= 16 min: at earlier times the plotted IRS-Yp curve is
# overdrawn by the experimental markers and their error bars.
time_min,fraction_active
15.815,0.172134
16.0925,0.162963
16.2312,0.162257
16.3699,0.161552
16.5087,0.161552
16.6474,0.171429
16.7861,0.170018
16.9249,0.168607
17.0636,0.16649
18.4509,0.146032
18.5896,0.145326
18.7283,0.144621
18.8671,0.143915
19.0058,0.14321
19.1445,0.142504
19.2832,0.141093
19.422,0.139683
19.5607,0.138272
19.6994,0.136861
19.8382,0.13545
19.9769,0.134039
20.1156,0.132628
20.2543,0.131217
20.3931,0.129806
20.5318,0.128395
20.6705,0.126984
20.8092,0.125573
20.948,0.124162
21.0867,0.122751
21.2254,0.12134
21.3642,0.119929
21.5029,0.118519
21.6416,0.117108
21.7803,0.115697
21.9191,0.114286
22.0578,0.112875
22.1965,0.111464
22.3353,0.110053
22.474,0.108642
22.6127,0.107231
22.7514,0.10582
22.8902,0.105115
23.0289,0.103704
23.1676,0.102293
23.3064,0.101587
23.4451,0.100176
23.5838,0.0987654
23.7225,0.0973545
23.8613,0.096649
24,0.0952381
24.1387,0.0938272
24.2775,0.0931217
24.4162,0.0917108
24.5549,0.0902998
24.6936,0.0895944
24.8324,0.0881834
24.9711,0.0867725
25.1098,0.086067
25.2486,0.0853616
25.3873,0.0839506
25.526,0.0825397
25.6647,0.0818342
25.8035,0.0804233
25.9422,0.0797178
26.0809,0.0783069
26.2197,0.0776014
26.3584,0.0768959
26.4971,0.075485
26.6358,0.0740741
26.7746,0.0733686
26.9133,0.0726631
27.052,0.0712522
27.1908,0.0705467
27.3295,0.0698413
27.4682,0.0684303
27.6069,0.0670194
27.7457,0.0670194
27.8844,0.0656085
28.0231,0.0641975
28.1618,0.0641975
28.3006,0.0627866
28.4393,0.0627866
28.578,0.0613757
28.7168,0.0599647
28.8555,0.0599647
28.9942,0.0585538
29.1329,0.0578483
29.2717,0.0571429
29.4104,0.0557319
29.5491,0.0557319
29.6879,0.054321
29.8266,0.054321
29.9653,0.0529101
30.104,0.0522046
30.2428,0.0514991
30.3815,0.0507937
30.5202,0.0500882
30.659,0.0493827
30.7977,0.0486772
30.9364,0.0479718
31.0751,0.0472663
31.2139,0.0465608
31.3526,0.0458554
31.4913,0.0451499
31.6301,0.0451499
31.7688,0.043739
31.9075,0.043739
32.0462,0.042328
32.185,0.042328
32.3237,0.0416226
32.4624,0.0409171
32.6012,0.0402116
32.7399,0.0402116
32.8786,0.0395062
33.0173,0.0388007
33.1561,0.0388007
33.2948,0.0373898
33.4335,0.0373898
33.5723,0.0366843
33.711,0.0359788
33.8497,0.0359788
33.9884,0.0352734
34.1272,0.0345679
34.2659,0.0338624
34.4046,0.0338624
34.5434,0.033157
34.6821,0.0324515
34.8208,0.0324515
34.9595,0.031746
35.0983,0.0310406
35.237,0.0310406
35.3757,0.0310406
35.5145,0.0296296
35.6532,0.0296296
35.7919,0.0296296
35.9306,0.0282187
36.0694,0.0282187
36.2081,0.0282187
36.3468,0.0275132
36.4855,0.0268078
36.6243,0.0268078
36.763,0.0261023
36.9017,0.0261023
37.0405,0.0253968
37.1792,0.0253968
37.3179,0.0246914
37.4566,0.0246914
37.5954,0.0239859
37.7341,0.0232804
37.8728,0.0232804
38.0116,0.0232804
38.1503,0.0232804
38.289,0.0218695
38.4277,0.0218695
38.5665,0.0218695
38.7052,0.0218695
38.8439,0.0204586
38.9827,0.0204586
39.1214,0.0204586
39.2601,0.0204586
39.3988,0.0204586
39.5376,0.0190476
39.6763,0.0190476
39.815,0.0190476
39.9538,0.0190476
40.0925,0.0190476
40.2312,0.0176367
40.3699,0.0176367
40.5087,0.0176367
40.6474,0.0176367
40.7861,0.0176367
41.0636,0.0162257
41.2023,0.0162257
41.341,0.0162257
41.4798,0.0162257
41.896,0.0148148
42.0347,0.0148148
42.1734,0.0148148
42.3121,0.0148148
42.8671,0.0134039
43.0058,0.0134039
43.1445,0.0134039
43.2832,0.0134039
43.9769,0.0119929
44.1156,0.0119929
44.3931,0.0119929
45.0867,0.010582
45.2254,0.010582
46.474,0.00917108
46.6127,0.00917108
48.1387,0.00776014
48.2775,0.00776014
48.4162,0.00776014
50.3584,0.00634921
50.4971,0.00634921
50.6358,0.00634921
53.4104,0.00493827
53.5491,0.00493827
53.6879,0.00493827
53.8266,0.00493827
53.9653,0.00493827
54.104,0.00493827
54.2428,0.00493827
54.3815,0.00493827
54.5202,0.00493827
55.4913,0.00493827
55.6301,0.00493827
55.7688,0.00493827
58.5434,0.00352734
58.6821,0.00352734
58.8208,0.00352734
58.9595,0.00352734
59.0983,0.00352734
59.237,0.00352734
59.3757,0.00352734
59.5145,0.00352734
59.6532,0.00352734
59.7919,0.00352734
59.9306,0.00352734
