tCycB_AU,pEnsaB55_ss_AU
0.1796,0.0203
0.1796,0.2386
0.1796,0.2437
0.1796,0.2487
0.1796,0.2538
0.1796,0.2589
0.1823,0.0102
0.1823,0.0152
0.1823,0.0203
0.1823,0.2487
0.1823,0.2538
0.1823,0.2589
0.1851,0.0102
0.1851,0.0152
0.1851,0.0203
0.1851,0.2487
0.1851,0.2538
0.1851,0.2589
0.1878,0.0102
0.1878,0.0152
0.1878,0.0203
0.1878,0.2487
0.1878,0.2538
0.1878,0.2589
0.1906,0.0102
0.1906,0.0152
0.1906,0.0203
0.1906,0.2335
0.1906,0.2386
0.1906,0.2437
0.1906,0.2487
0.1906,0.2538
0.1906,0.2589
0.1934,0.0152
0.1934,0.0203
0.1934,0.2335
0.1934,0.2386
0.1934,0.2437
0.1934,0.2487
0.1934,0.2538
0.1934,0.2589
0.1961,0.0152
0.1961,0.0203
0.1961,0.2335
0.1961,0.2386
0.1961,0.2437
0.1961,0.2487
0.1961,0.2538
0.1961,0.2589
0.1989,0.0051
0.1989,0.0102
0.1989,0.0152
0.1989,0.0203
0.1989,0.2487
0.1989,0.2538
0.1989,0.2589
0.2017,0.0051
0.2017,0.0102
0.2017,0.0152
0.2017,0.0203
0.2017,0.0254
0.2017,0.2487
0.2017,0.2538
0.2017,0.2589
0.2044,0.0152
0.2044,0.0203
0.2044,0.0254
0.2044,0.2487
0.2044,0.2538
0.2044,0.2589
0.2072,0.0152
0.2072,0.0203
0.2072,0.0254
0.2072,0.2335
0.2072,0.2386
0.2072,0.2437
0.2072,0.2487
0.2072,0.2538
0.2072,0.2589
0.2099,0.0152
0.2099,0.0203
0.2099,0.0254
0.2099,0.2335
0.2099,0.2386
0.2099,0.2437
0.2099,0.2487
0.2099,0.2538
0.2099,0.2589
0.2127,0.0152
0.2127,0.0203
0.2127,0.0254
0.2127,0.2335
0.2127,0.2386
0.2127,0.2437
0.2127,0.2487
0.2127,0.2538
0.2127,0.2589
0.2155,0.0152
0.2155,0.0203
0.2155,0.0254
0.2155,0.2437
0.2155,0.2487
0.2155,0.2538
0.2155,0.2589
0.2182,0.0152
0.2182,0.0203
0.2182,0.0254
0.2182,0.2487
0.2182,0.2538
0.2182,0.2589
0.221,0.0152
0.221,0.0203
0.221,0.0254
0.221,0.2487
0.221,0.2538
0.221,0.2589
0.2238,0.0152
0.2238,0.0203
0.2238,0.0254
0.2238,0.2335
0.2238,0.2437
0.2238,0.2487
0.2238,0.2538
0.2238,0.2589
0.2265,0.0152
0.2265,0.0203
0.2265,0.0254
0.2265,0.2284
0.2265,0.2335
0.2265,0.2386
0.2265,0.2437
0.2265,0.2487
0.2265,0.2538
0.2265,0.2589
0.2293,0.0152
0.2293,0.0203
0.2293,0.0254
0.2293,0.2284
0.2293,0.2335
0.2293,0.2386
0.2293,0.2437
0.2293,0.2487
0.2293,0.2538
0.2293,0.2589
0.232,0.0152
0.232,0.0203
0.232,0.0254
0.232,0.2487
0.232,0.2538
0.232,0.2589
0.2348,0.0152
0.2348,0.0203
0.2348,0.0254
0.2348,0.2487
0.2348,0.2538
0.2348,0.2589
0.2376,0.0152
0.2376,0.0203
0.2376,0.0254
0.2376,0.2487
0.2376,0.2538
0.2376,0.2589
0.2403,0.0152
0.2403,0.0203
0.2403,0.0254
0.2403,0.2487
0.2403,0.2538
0.2403,0.2589
0.2431,0.0203
0.2431,0.0254
0.2431,0.2284
0.2431,0.2335
0.2431,0.2386
0.2431,0.2487
0.2431,0.2538
0.2431,0.2589
0.2459,0.0203
0.2459,0.0254
0.2459,0.2284
0.2459,0.2335
0.2459,0.2386
0.2459,0.2487
0.2459,0.2538
0.2459,0.2589
0.2486,0.0203
0.2486,0.0254
0.2486,0.2487
0.2486,0.2538
0.2486,0.2589
0.2514,0.0203
0.2514,0.0254
0.2514,0.2487
0.2514,0.2538
0.2514,0.2589
0.2541,0.0203
0.2541,0.0254
0.2541,0.2487
0.2541,0.2538
0.2541,0.2589
0.2569,0.0203
0.2569,0.0254
0.2569,0.2487
0.2569,0.2538
0.2569,0.2589
0.2597,0.0203
0.2597,0.0254
0.2597,0.2284
0.2597,0.2335
0.2597,0.2487
0.2597,0.2538
0.2597,0.2589
0.2624,0.0203
0.2624,0.0254
0.2624,0.2284
0.2624,0.2335
0.2624,0.2487
0.2624,0.2538
0.2624,0.2589
0.2652,0.0203
0.2652,0.0254
0.2652,0.0305
0.2652,0.2284
0.2652,0.2335
0.2652,0.2487
0.2652,0.2538
0.2652,0.2589
0.268,0.0203
0.268,0.0254
0.268,0.0305
0.268,0.2487
0.268,0.2538
0.268,0.2589
0.2707,0.0203
0.2707,0.0254
0.2707,0.0305
0.2707,0.2487
0.2707,0.2538
0.2707,0.2589
0.2735,0.0203
0.2735,0.0254
0.2735,0.0305
0.2735,0.2487
0.2735,0.2538
0.2735,0.2589
0.2762,0.0203
0.2762,0.0254
0.2762,0.0305
0.2762,0.2234
0.2762,0.2284
0.2762,0.2487
0.2762,0.2538
0.2762,0.2589
0.279,0.0203
0.279,0.0254
0.279,0.0305
0.279,0.2234
0.279,0.2284
0.279,0.2335
0.279,0.2487
0.279,0.2538
0.279,0.2589
0.2818,0.0203
0.2818,0.0254
0.2818,0.0305
0.2818,0.2284
0.2818,0.2487
0.2818,0.2538
0.2818,0.2589
0.2845,0.0203
0.2845,0.0254
0.2845,0.0305
0.2845,0.2487
0.2845,0.2538
0.2845,0.2589
0.2873,0.0203
0.2873,0.0254
0.2873,0.0305
0.2873,0.2487
0.2873,0.2538
0.2873,0.2589
0.2901,0.0203
0.2901,0.0254
0.2901,0.0305
0.2901,0.2487
0.2901,0.2538
0.2901,0.2589
0.2928,0.0203
0.2928,0.0254
0.2928,0.0305
0.2928,0.2234
0.2928,0.2284
0.2928,0.2487
0.2928,0.2538
0.2928,0.2589
0.2956,0.0203
0.2956,0.0254
0.2956,0.0305
0.2956,0.2234
0.2956,0.2284
0.2956,0.2487
0.2956,0.2538
0.2956,0.2589
0.2983,0.0203
0.2983,0.0254
0.2983,0.0305
0.2983,0.2234
0.2983,0.2284
0.2983,0.2487
0.2983,0.2538
0.2983,0.2589
0.3011,0.0203
0.3011,0.0254
0.3011,0.0305
0.3011,0.2487
0.3011,0.2538
0.3011,0.2589
0.3039,0.0203
0.3039,0.0254
0.3039,0.0305
0.3039,0.2487
0.3039,0.2538
0.3039,0.2589
0.3066,0.0254
0.3066,0.0305
0.3066,0.2487
0.3066,0.2538
0.3066,0.2589
0.3094,0.0254
0.3094,0.0305
0.3094,0.2234
0.3094,0.2487
0.3094,0.2538
0.3094,0.2589
0.3122,0.0254
0.3122,0.0305
0.3122,0.2183
0.3122,0.2234
0.3122,0.2284
0.3122,0.2487
0.3122,0.2538
0.3122,0.2589
0.3149,0.0254
0.3149,0.0305
0.3149,0.2183
0.3149,0.2234
0.3149,0.2284
0.3149,0.2487
0.3149,0.2538
0.3149,0.2589
0.3177,0.0254
0.3177,0.0305
0.3177,0.2487
0.3177,0.2538
0.3177,0.2589
0.3204,0.0254
0.3204,0.0305
0.3204,0.2487
0.3204,0.2538
0.3204,0.2589
0.3232,0.0254
0.3232,0.0305
0.3232,0.0355
0.3232,0.2487
0.3232,0.2538
0.3232,0.2589
0.326,0.0254
0.326,0.0305
0.326,0.0355
0.326,0.2487
0.326,0.2538
0.326,0.2589
0.3287,0.0254
0.3287,0.0305
0.3287,0.0355
0.3287,0.2183
0.3287,0.2234
0.3287,0.2487
0.3287,0.2538
0.3287,0.2589
0.3315,0.0254
0.3315,0.0305
0.3315,0.0355
0.3315,0.2183
0.3315,0.2234
0.3315,0.2487
0.3315,0.2538
0.3315,0.2589
0.3343,0.0254
0.3343,0.0305
0.3343,0.0355
0.3343,0.2487
0.3343,0.2538
0.3343,0.2589
0.337,0.0254
0.337,0.0305
0.337,0.0355
0.337,0.2487
0.337,0.2538
0.337,0.2589
0.3398,0.0254
0.3398,0.0305
0.3398,0.0355
0.3398,0.2487
0.3398,0.2538
0.3398,0.2589
0.3425,0.0254
0.3425,0.0305
0.3425,0.0355
0.3425,0.2487
0.3425,0.2538
0.3425,0.2589
0.3453,0.0254
0.3453,0.0305
0.3453,0.0355
0.3453,0.2132
0.3453,0.2183
0.3453,0.2234
0.3453,0.2487
0.3453,0.2538
0.3453,0.2589
0.3481,0.0254
0.3481,0.0305
0.3481,0.0355
0.3481,0.2132
0.3481,0.2183
0.3481,0.2234
0.3481,0.2487
0.3481,0.2538
0.3481,0.2589
0.3508,0.0254
0.3508,0.0305
0.3508,0.0355
0.3508,0.2183
0.3508,0.2234
0.3508,0.2487
0.3508,0.2538
0.3508,0.2589
0.3536,0.0305
0.3536,0.0355
0.3536,0.2487
0.3536,0.2538
0.3536,0.2589
0.3564,0.0305
0.3564,0.0355
0.3564,0.2487
0.3564,0.2538
0.3564,0.2589
0.3591,0.0305
0.3591,0.0355
0.3591,0.2487
0.3591,0.2538
0.3591,0.2589
0.3619,0.0305
0.3619,0.0355
0.3619,0.2132
0.3619,0.2183
0.3619,0.2487
0.3619,0.2538
0.3619,0.2589
0.3646,0.0305
0.3646,0.0355
