kSyCb_permin,CycB_Cdk1_orbit_AU
0.03956,0.1638
0.03978,0.034
0.03978,0.0362
0.03978,0.0383
0.03978,0.0404
0.03978,0.1681
0.03978,0.1702
0.03978,0.1723
0.03978,0.1745
0.04,0.0319
0.04,0.034
0.04,0.0362
0.04,0.0383
0.04,0.0404
0.04,0.166
0.04,0.1681
0.04,0.1702
0.04,0.1723
0.04,0.1745
0.04022,0.0319
0.04022,0.034
0.04022,0.0362
0.04022,0.0383
0.04022,0.0404
0.04022,0.0426
0.04022,0.166
0.04022,0.1681
0.04022,0.1702
0.04022,0.1723
0.04022,0.1745
0.04022,0.1766
0.04044,0.0319
0.04044,0.034
0.04044,0.0362
0.04044,0.0383
0.04044,0.0404
0.04044,0.166
0.04044,0.1681
0.04044,0.1702
0.04044,0.1723
0.04044,0.1745
0.04044,0.1766
0.04066,0.034
0.04066,0.0362
0.04066,0.0383
0.04066,0.0404
0.04066,0.1681
0.04066,0.1702
0.04066,0.1723
0.04066,0.1745
0.04088,0.0362
0.04088,0.0383
0.0411,0.034
0.0411,0.0362
0.0411,0.0383
0.0411,0.0404
0.0411,0.1766
0.0411,0.1787
0.0411,0.1809
0.0411,0.183
0.04133,0.034
0.04133,0.0362
0.04133,0.0383
0.04133,0.0404
0.04133,0.0426
0.04133,0.1745
0.04133,0.1766
0.04133,0.1787
0.04133,0.1809
0.04133,0.183
0.04155,0.0319
0.04155,0.034
0.04155,0.0362
0.04155,0.0383
0.04155,0.0404
0.04155,0.0426
0.04155,0.1745
0.04155,0.1766
0.04155,0.1787
0.04155,0.1809
0.04155,0.183
0.04155,0.1851
0.04177,0.034
0.04177,0.0362
0.04177,0.0383
0.04177,0.0404
0.04177,0.0426
0.04177,0.1745
0.04177,0.1766
0.04177,0.1787
0.04177,0.1809
0.04177,0.183
0.04177,0.1851
0.04199,0.034
0.04199,0.0362
0.04199,0.0383
0.04199,0.0404
0.04199,0.1766
0.04199,0.1787
0.04199,0.1809
0.04199,0.183
0.04221,0.0362
0.04221,0.0383
0.04221,0.1787
0.04221,0.1809
0.04243,0.0383
0.04243,0.0404
0.04243,0.1872
0.04265,0.0362
0.04265,0.0383
0.04265,0.0404
0.04265,0.0426
0.04265,0.1851
0.04265,0.1872
0.04265,0.1894
0.04265,0.1915
0.04287,0.034
0.04287,0.0362
0.04287,0.0383
0.04287,0.0404
0.04287,0.0426
0.04287,0.183
0.04287,0.1851
0.04287,0.1872
0.04287,0.1894
0.04287,0.1915
0.04287,0.1936
0.04309,0.034
0.04309,0.0362
0.04309,0.0383
0.04309,0.0404
0.04309,0.0426
0.04309,0.183
0.04309,0.1851
0.04309,0.1872
0.04309,0.1894
0.04309,0.1915
0.04309,0.1936
0.04331,0.034
0.04331,0.0362
0.04331,0.0383
0.04331,0.0404
0.04331,0.0426
0.04331,0.183
0.04331,0.1851
0.04331,0.1872
0.04331,0.1894
0.04331,0.1915
0.04354,0.0362
0.04354,0.0383
0.04354,0.0404
0.04354,0.1851
0.04354,0.1872
0.04354,0.1894
0.04354,0.1915
0.0442,0.0362
0.0442,0.0383
0.0442,0.0404
0.0442,0.0426
0.0442,0.1936
0.0442,0.1957
0.0442,0.1979
0.0442,0.2
0.04442,0.034
0.04442,0.0362
0.04442,0.0383
0.04442,0.0404
0.04442,0.0426
0.04442,0.0447
0.04442,0.1915
0.04442,0.1936
0.04442,0.1957
0.04442,0.1979
0.04442,0.2
0.04464,0.034
0.04464,0.0362
0.04464,0.0383
0.04464,0.0404
0.04464,0.0426
0.04464,0.0447
0.04464,0.1915
0.04464,0.1936
0.04464,0.1957
0.04464,0.1979
0.04464,0.2
0.04486,0.0362
0.04486,0.0383
0.04486,0.0404
0.04486,0.0426
0.04486,0.0447
0.04486,0.1915
0.04486,0.1936
0.04486,0.1957
0.04486,0.1979
0.04486,0.2
0.04508,0.0362
0.04508,0.0383
0.04508,0.0404
0.04508,0.0426
0.04508,0.1936
0.04508,0.1957
0.04508,0.1979
0.04508,0.2
0.04575,0.0404
0.04575,0.0426
0.04575,0.2021
0.04575,0.2043
0.04597,0.0362
0.04597,0.0383
0.04597,0.0404
0.04597,0.0426
0.04597,0.0447
0.04597,0.2
0.04597,0.2021
0.04597,0.2043
0.04597,0.2064
0.04619,0.0362
0.04619,0.0383
0.04619,0.0404
0.04619,0.0426
0.04619,0.0447
0.04619,0.1979
0.04619,0.2
0.04619,0.2021
0.04619,0.2043
0.04619,0.2064
0.04619,0.2085
0.04641,0.0362
0.04641,0.0383
0.04641,0.0404
0.04641,0.0426
0.04641,0.0447
0.04641,0.1979
0.04641,0.2
0.04641,0.2021
0.04641,0.2043
0.04641,0.2064
0.04641,0.2085
0.04663,0.0362
0.04663,0.0383
0.04663,0.0404
0.04663,0.0426
0.04663,0.0447
0.04663,0.2
0.04663,0.2021
0.04663,0.2043
0.04663,0.2064
0.04685,0.0383
0.04685,0.0404
0.04685,0.0426
0.04685,0.2021
0.04685,0.2043
0.04685,0.2064
0.04773,0.0383
0.04773,0.0404
0.04773,0.0426
0.04773,0.0447
0.04773,0.2064
0.04773,0.2085
0.04773,0.2106
0.04773,0.2128
0.04796,0.0383
0.04796,0.0404
0.04796,0.0426
0.04796,0.0447
0.04796,0.0468
0.04796,0.2043
0.04796,0.2064
0.04796,0.2085
0.04796,0.2106
0.04796,0.2128
