tCycB_AU,CycB_Cdk1_ss_AU
0.9199,0.9086
0.9199,0.9137
0.9227,0.9036
0.9227,0.9086
0.9227,0.9137
0.9227,0.9188
0.9254,0.9086
0.9254,0.9137
0.9254,0.9188
0.9282,0.9086
0.9282,0.9137
0.9282,0.9188
0.9282,0.9239
0.9309,0.9137
0.9309,0.9188
0.9309,0.9239
0.9337,0.9137
0.9337,0.9188
0.9337,0.9239
0.9337,0.9289
0.9365,0.9188
0.9365,0.9239
0.9365,0.9289
0.9392,0.9188
0.9392,0.9239
0.9392,0.9289
0.9392,0.934
0.942,0.9239
0.942,0.9289
0.942,0.934
0.9448,0.9289
0.9448,0.934
0.9448,0.9391
0.9475,0.9289
0.9475,0.934
0.9475,0.9391
0.9503,0.934
0.9503,0.9391
0.9503,0.9442
0.953,0.934
0.953,0.9391
0.953,0.9442
0.9558,0.9391
0.9558,0.9442
0.9558,0.9492
0.9586,0.9391
0.9586,0.9442
0.9586,0.9492
0.9586,0.9543
0.9613,0.9442
0.9613,0.9492
0.9613,0.9543
0.9641,0.9442
0.9641,0.9492
0.9641,0.9543
0.9641,0.9594
0.9669,0.9492
0.9669,0.9543
0.9669,0.9594
0.9696,0.9492
0.9696,0.9543
0.9696,0.9594
0.9696,0.9645
0.9724,0.9543
0.9724,0.9594
0.9724,0.9645
0.9751,0.9543
0.9751,0.9594
0.9751,0.9645
0.9751,0.9695
0.9779,0.9594
0.9779,0.9645
0.9779,0.9695
0.9807,0.9594
0.9807,0.9645
0.9807,0.9695
0.9807,0.9746
0.9834,0.9645
0.9834,0.9695
0.9834,0.9746
0.9862,0.9695
0.9862,0.9746
0.9862,0.9797
0.989,0.9695
0.989,0.9746
0.989,0.9797
0.9917,0.9746
0.9917,0.9797
0.9917,0.9848
0.9945,0.9746
0.9945,0.9797
0.9945,0.9848
0.9972,0.9746
0.9972,0.9797
0.9972,0.9848
0.9972,0.9898
1.0,0.9797
1.0,0.9848
