tCycB_AU,CycB_Cdk1_ss_AU
0.2956,0.2944
0.2956,0.2995
0.2983,0.0406
0.2983,0.2893
0.2983,0.2944
0.2983,0.2995
0.3011,0.0406
0.3011,0.2893
0.3011,0.2944
0.3011,0.2995
0.3039,0.0406
0.3039,0.0914
0.3039,0.0964
0.3039,0.2944
0.3039,0.2995
0.3039,0.3046
0.3066,0.0406
0.3066,0.0863
0.3066,0.0914
0.3066,0.0964
0.3066,0.2944
0.3066,0.2995
0.3066,0.3046
0.3094,0.0406
0.3094,0.0863
0.3094,0.0914
0.3094,0.0964
0.3094,0.2995
0.3094,0.3046
0.3094,0.3096
0.3122,0.0406
0.3122,0.2995
0.3122,0.3046
0.3122,0.3096
0.3122,0.3147
0.3149,0.0406
0.3149,0.3046
0.3149,0.3096
0.3149,0.3147
0.3177,0.0406
0.3177,0.3046
0.3177,0.3096
0.3177,0.3147
0.3177,0.3198
0.3204,0.0406
0.3204,0.0964
0.3204,0.3096
0.3204,0.3147
0.3204,0.3198
0.3232,0.0406
0.3232,0.0914
0.3232,0.0964
0.3232,0.1015
0.3232,0.3096
0.3232,0.3147
0.3232,0.3198
0.3232,0.3249
0.326,0.0406
0.326,0.0914
0.326,0.0964
0.326,0.1015
0.326,0.3147
0.326,0.3198
0.326,0.3249
0.3287,0.0406
0.3287,0.3198
0.3287,0.3249
0.3287,0.3299
0.3315,0.0406
0.3315,0.3198
0.3315,0.3249
0.3315,0.3299
0.3343,0.0457
0.3343,0.3249
0.3343,0.3299
0.3343,0.335
0.337,0.0457
0.337,0.3249
0.337,0.3299
0.337,0.335
0.3398,0.0457
0.3398,0.0914
0.3398,0.0964
0.3398,0.1015
0.3398,0.3299
0.3398,0.335
0.3398,0.3401
0.3425,0.0457
0.3425,0.0914
0.3425,0.0964
0.3425,0.1015
0.3425,0.3299
0.3425,0.335
0.3425,0.3401
0.3425,0.3452
0.3453,0.0457
0.3453,0.0964
0.3453,0.335
0.3453,0.3401
0.3453,0.3452
0.3481,0.0457
0.3481,0.335
0.3481,0.3401
0.3481,0.3452
0.3481,0.3503
0.3508,0.0457
0.3508,0.3401
0.3508,0.3452
0.3508,0.3503
0.3536,0.0457
0.3536,0.3452
0.3536,0.3503
0.3536,0.3553
0.3564,0.0457
0.3564,0.0964
0.3564,0.1015
0.3564,0.3452
0.3564,0.3503
0.3564,0.3553
0.3591,0.0457
0.3591,0.0964
0.3591,0.1015
0.3591,0.1066
0.3591,0.3503
0.3591,0.3553
0.3591,0.3604
0.3619,0.0457
0.3619,0.0964
0.3619,0.1015
0.3619,0.3503
0.3619,0.3553
0.3619,0.3604
0.3646,0.0457
0.3646,0.3553
0.3646,0.3604
0.3646,0.3655
0.3674,0.0457
0.3674,0.3553
0.3674,0.3604
0.3674,0.3655
0.3702,0.0457
0.3702,0.3604
0.3702,0.3655
0.3702,0.3706
0.3729,0.0457
0.3729,0.0964
0.3729,0.1015
0.3729,0.1066
0.3729,0.3604
0.3729,0.3655
0.3729,0.3706
0.3757,0.0457
0.3757,0.0964
0.3757,0.1015
0.3757,0.1066
0.3757,0.3655
0.3757,0.3706
0.3757,0.3756
0.3785,0.0457
0.3785,0.0508
0.3785,0.0964
0.3785,0.1015
0.3785,0.1066
0.3785,0.3655
0.3785,0.3706
0.3785,0.3756
0.3785,0.3807
0.3812,0.0457
0.3812,0.0508
0.3812,0.3706
0.3812,0.3756
0.3812,0.3807
0.384,0.0457
0.384,0.0508
0.384,0.3706
0.384,0.3756
0.384,0.3807
0.384,0.3858
0.3867,0.0508
0.3867,0.3756
0.3867,0.3807
0.3867,0.3858
0.3895,0.0508
0.3895,0.1015
0.3895,0.1066
0.3895,0.3756
0.3895,0.3807
0.3895,0.3858
0.3895,0.3909
0.3923,0.0508
0.3923,0.1015
0.3923,0.1066
0.3923,0.1117
0.3923,0.3807
0.3923,0.3858
0.3923,0.3909
0.395,0.0508
0.395,0.1015
0.395,0.1066
0.395,0.1117
0.395,0.3807
0.395,0.3858
0.395,0.3909
0.395,0.3959
0.3978,0.0508
0.3978,0.3858
0.3978,0.3909
0.3978,0.3959
0.4006,0.0508
0.4006,0.3858
0.4006,0.3909
0.4006,0.3959
0.4006,0.401
0.4033,0.0508
0.4033,0.3909
0.4033,0.3959
0.4033,0.401
0.4061,0.0508
0.4061,0.3959
0.4061,0.401
0.4061,0.4061
0.4088,0.0508
0.4088,0.1015
0.4088,0.1066
0.4088,0.1117
0.4088,0.3959
0.4088,0.401
0.4088,0.4061
0.4116,0.0508
0.4116,0.1015
0.4116,0.1066
0.4116,0.1117
0.4116,0.401
0.4116,0.4061
0.4116,0.4112
0.4144,0.0508
0.4144,0.401
0.4144,0.4061
0.4144,0.4112
0.4144,0.4162
0.4171,0.0508
0.4171,0.0558
0.4171,0.4061
0.4171,0.4112
0.4171,0.4162
0.4199,0.0508
0.4199,0.0558
0.4199,0.4061
0.4199,0.4112
0.4199,0.4162
0.4199,0.4213
0.4227,0.0508
0.4227,0.0558
0.4227,0.4112
0.4227,0.4162
0.4227,0.4213
0.4254,0.0508
0.4254,0.0558
0.4254,0.1066
0.4254,0.1117
0.4254,0.4112
0.4254,0.4162
0.4254,0.4213
0.4254,0.4264
0.4282,0.0558
0.4282,0.1015
0.4282,0.1066
0.4282,0.1117
0.4282,0.4162
0.4282,0.4213
0.4282,0.4264
0.4309,0.0558
0.4309,0.4213
0.4309,0.4264
0.4309,0.4315
0.4337,0.0558
0.4337,0.4213
0.4337,0.4264
0.4337,0.4315
0.4365,0.0558
0.4365,0.4264
0.4365,0.4315
0.4365,0.4365
0.4392,0.0558
0.4392,0.4264
0.4392,0.4315
0.4392,0.4365
0.442,0.0558
0.442,0.1066
0.442,0.1117
0.442,0.1168
0.442,0.4315
0.442,0.4365
0.442,0.4416
0.4448,0.0558
0.4448,0.1066
0.4448,0.1117
0.4448,0.1168
0.4448,0.4315
0.4448,0.4365
0.4448,0.4416
0.4475,0.0558
0.4475,0.1066
0.4475,0.1117
0.4475,0.4365
0.4475,0.4416
0.4475,0.4467
0.4503,0.0558
0.4503,0.4365
0.4503,0.4416
0.4503,0.4467
0.4503,0.4518
0.453,0.0558
0.453,0.4416
0.453,0.4467
0.453,0.4518
0.4558,0.0558
0.4558,0.4416
0.4558,0.4467
0.4558,0.4518
0.4558,0.4569
0.4586,0.0558
0.4586,0.0609
0.4586,0.1117
0.4586,0.1168
0.4586,0.4467
0.4586,0.4518
0.4586,0.4569
0.4613,0.0558
0.4613,0.0609
0.4613,0.1066
0.4613,0.1117
0.4613,0.1168
0.4613,0.4467
0.4613,0.4518
0.4613,0.4569
0.4613,0.4619
0.4641,0.0558
0.4641,0.0609
0.4641,0.1117
0.4641,0.1168
0.4641,0.4518
0.4641,0.4569
0.4641,0.4619
0.4669,0.0558
0.4669,0.0609
0.4669,0.4518
0.4669,0.4569
0.4669,0.4619
0.4669,0.467
0.4696,0.0609
0.4696,0.4569
0.4696,0.4619
0.4696,0.467
0.4724,0.0609
0.4724,0.4619
0.4724,0.467
0.4724,0.4721
0.4751,0.0609
0.4751,0.1117
0.4751,0.1168
0.4751,0.4619
0.4751,0.467
0.4751,0.4721
0.4779,0.0609
0.4779,0.1117
0.4779,0.1168
0.4779,0.467
0.4779,0.4721
0.4779,0.4772
0.4807,0.0609
0.4807,0.1117
0.4807,0.1168
0.4807,0.467
0.4807,0.4721
0.4807,0.4772
0.4807,0.4822
0.4834,0.0609
0.4834,0.4721
0.4834,0.4772
0.4834,0.4822
0.4862,0.0609
0.4862,0.4721
0.4862,0.4772
0.4862,0.4822
0.4862,0.4873
0.489,0.0609
0.489,0.066
0.489,0.4772
0.489,0.4822
0.489,0.4873
0.4917,0.0609
0.4917,0.066
0.4917,0.1117
0.4917,0.1168
0.4917,0.4772
0.4917,0.4822
0.4917,0.4873
0.4917,0.4924
0.4945,0.0609
0.4945,0.066
0.4945,0.1117
0.4945,0.1168
0.4945,0.1218
0.4945,0.4822
0.4945,0.4873
0.4945,0.4924
0.4972,0.0609
0.4972,0.066
0.4972,0.1117
0.4972,0.1168
0.4972,0.1218
0.4972,0.4822
0.4972,0.4873
0.4972,0.4924
0.4972,0.4975
0.5,0.0609
0.5,0.066
0.5,0.4873
0.5,0.4924
0.5,0.4975
0.5028,0.0609
0.5028,0.066
0.5028,0.4924
0.5028,0.4975
0.5028,0.5025
0.5055,0.0609
0.5055,0.066
0.5055,0.4924
0.5055,0.4975
0.5055,0.5025
0.5083,0.066
0.5083,0.4975
0.5083,0.5025
0.5083,0.5076
0.511,0.066
