CycD_AU,CycE_ss_AU
-0.3664,0.5025
-0.3664,0.5076
-0.3664,0.8832
-0.3664,0.8883
-0.3664,0.8934
-0.3609,0.5025
-0.3609,0.5076
-0.3609,0.5127
-0.3609,0.8832
-0.3609,0.8883
-0.3609,0.8934
-0.3554,0.5025
-0.3554,0.5076
-0.3554,0.8832
-0.3554,0.8883
-0.3554,0.8934
-0.3499,0.8883
-0.3499,0.8934
-0.3499,0.8985
-0.3444,0.8883
-0.3444,0.8934
-0.3444,0.8985
-0.3388,0.4772
-0.3388,0.4822
-0.3388,0.4873
-0.3388,0.8883
-0.3388,0.8934
-0.3388,0.8985
-0.3333,0.4772
-0.3333,0.4822
-0.3333,0.4873
-0.3333,0.8883
-0.3333,0.8934
-0.3333,0.8985
-0.3278,0.4822
-0.3278,0.8883
-0.3278,0.8934
-0.3278,0.8985
-0.3223,0.8883
-0.3223,0.8934
-0.3223,0.8985
-0.3168,0.467
-0.3168,0.8883
-0.3168,0.8934
-0.3168,0.8985
-0.3113,0.4569
-0.3113,0.4619
-0.3113,0.467
-0.3113,0.4721
-0.3113,0.8883
-0.3113,0.8934
-0.3113,0.8985
-0.3058,0.4569
-0.3058,0.4619
-0.3058,0.467
-0.3058,0.4721
-0.3058,0.8883
-0.3058,0.8934
-0.3058,0.8985
-0.3003,0.8883
-0.3003,0.8934
-0.3003,0.8985
-0.2948,0.8883
-0.2948,0.8934
-0.2948,0.8985
-0.2893,0.8883
-0.2893,0.8934
-0.2893,0.8985
-0.2837,0.4416
-0.2837,0.4467
-0.2837,0.4518
-0.2837,0.8883
-0.2837,0.8934
-0.2837,0.8985
-0.2782,0.4416
-0.2782,0.4467
-0.2782,0.4518
-0.2782,0.8883
-0.2782,0.8934
-0.2782,0.8985
-0.2727,0.8883
-0.2727,0.8934
-0.2727,0.8985
-0.2672,0.8883
-0.2672,0.8934
-0.2672,0.8985
-0.2617,0.4264
-0.2617,0.8883
-0.2617,0.8934
-0.2617,0.8985
-0.2562,0.4213
-0.2562,0.4264
-0.2562,0.4315
-0.2562,0.8883
-0.2562,0.8934
-0.2562,0.8985
-0.2507,0.4213
-0.2507,0.4264
-0.2507,0.4315
-0.2507,0.8883
-0.2507,0.8934
-0.2507,0.8985
-0.2452,0.8883
-0.2452,0.8934
-0.2452,0.8985
-0.2397,0.8883
-0.2397,0.8934
-0.2397,0.8985
-0.2342,0.4112
-0.2342,0.8883
-0.2342,0.8934
-0.2342,0.8985
-0.2287,0.4061
-0.2287,0.4112
-0.2287,0.4162
-0.2287,0.8883
-0.2287,0.8934
-0.2287,0.8985
-0.2231,0.4061
-0.2231,0.4112
-0.2231,0.4162
-0.2231,0.8883
-0.2231,0.8934
-0.2231,0.8985
-0.2176,0.8883
-0.2176,0.8934
-0.2176,0.8985
-0.2121,0.8883
-0.2121,0.8934
-0.2121,0.8985
-0.2066,0.3909
-0.2066,0.8883
-0.2066,0.8934
-0.2066,0.8985
-0.2011,0.3858
-0.2011,0.3909
-0.2011,0.3959
-0.2011,0.8883
-0.2011,0.8934
-0.2011,0.8985
-0.1956,0.3858
-0.1956,0.3909
-0.1956,0.3959
-0.1956,0.8883
-0.1956,0.8934
-0.1956,0.8985
-0.1901,0.0964
-0.1901,0.3909
-0.1901,0.8883
-0.1901,0.8934
-0.1901,0.8985
-0.1901,0.9036
-0.1846,0.0863
-0.1846,0.0914
-0.1846,0.0964
-0.1846,0.8883
-0.1846,0.8934
-0.1846,0.8985
-0.1846,0.9036
-0.1791,0.0863
-0.1791,0.0914
-0.1791,0.0964
-0.1791,0.1015
-0.1791,0.8883
-0.1791,0.8934
-0.1791,0.8985
-0.1791,0.9036
-0.1736,0.0863
-0.1736,0.0914
-0.1736,0.0964
-0.1736,0.1015
-0.1736,0.3655
-0.1736,0.3706
-0.1736,0.3756
-0.1736,0.8883
-0.1736,0.8934
-0.1736,0.8985
-0.1736,0.9036
-0.168,0.0863
-0.168,0.0914
-0.168,0.0964
-0.168,0.1015
-0.168,0.3655
-0.168,0.3706
-0.168,0.3756
-0.168,0.3807
-0.168,0.8883
-0.168,0.8934
-0.168,0.8985
-0.168,0.9036
-0.1625,0.0863
-0.1625,0.0914
-0.1625,0.0964
-0.1625,0.1015
-0.1625,0.3706
-0.1625,0.3756
-0.1625,0.8883
-0.1625,0.8934
-0.1625,0.8985
-0.1625,0.9036
-0.157,0.0914
-0.157,0.0964
-0.157,0.1015
-0.157,0.8883
-0.157,0.8934
-0.157,0.8985
-0.157,0.9036
-0.1515,0.0914
-0.1515,0.0964
-0.1515,0.1015
-0.1515,0.8934
-0.1515,0.8985
-0.1515,0.9036
-0.146,0.0914
-0.146,0.0964
-0.146,0.1015
-0.146,0.3503
-0.146,0.3553
-0.146,0.8934
-0.146,0.8985
