CycD_AU,CycE_ss_AU
0.3058,0.1371
0.3058,0.1421
0.3058,0.1472
0.3058,0.8934
0.3058,0.8985
0.3058,0.9036
0.3058,0.9086
0.3113,0.1168
0.3113,0.1218
0.3113,0.1269
0.3113,0.132
0.3113,0.1371
0.3113,0.1421
0.3113,0.1472
0.3113,0.8934
0.3113,0.8985
0.3113,0.9036
0.3113,0.9086
0.3168,0.1168
0.3168,0.1218
0.3168,0.1269
0.3168,0.132
0.3168,0.1371
0.3168,0.1421
0.3168,0.1472
0.3168,0.8934
0.3168,0.8985
0.3168,0.9036
0.3168,0.9086
0.3223,0.1218
0.3223,0.1269
0.3223,0.132
0.3223,0.1371
0.3223,0.1421
0.3223,0.8934
0.3223,0.8985
0.3223,0.9036
0.3223,0.9086
0.3278,0.8934
0.3278,0.8985
0.3278,0.9036
0.3278,0.9086
0.3333,0.8934
0.3333,0.8985
0.3333,0.9036
0.3333,0.9086
0.3388,0.8934
0.3388,0.8985
0.3388,0.9036
0.3388,0.9086
0.3444,0.8934
0.3444,0.8985
0.3444,0.9036
0.3444,0.9086
0.3499,0.8934
0.3499,0.8985
0.3499,0.9036
0.3499,0.9086
0.3554,0.8934
0.3554,0.8985
0.3554,0.9036
0.3554,0.9086
0.3609,0.8934
0.3609,0.8985
0.3609,0.9036
0.3609,0.9086
0.3664,0.8934
0.3664,0.8985
0.3664,0.9036
0.3664,0.9086
0.3719,0.8934
0.3719,0.8985
0.3719,0.9036
0.3719,0.9086
0.3774,0.8934
0.3774,0.8985
0.3774,0.9036
0.3774,0.9086
0.3829,0.8934
0.3829,0.8985
0.3829,0.9036
0.3829,0.9086
0.3884,0.8934
0.3884,0.8985
0.3884,0.9036
0.3884,0.9086
0.3939,0.8934
0.3939,0.8985
0.3939,0.9036
0.3939,0.9086
0.3994,0.8934
0.3994,0.8985
0.3994,0.9036
0.3994,0.9086
0.405,0.8934
0.405,0.8985
0.405,0.9036
0.405,0.9086
0.4105,0.8934
0.4105,0.8985
0.4105,0.9036
0.4105,0.9086
0.416,0.8934
0.416,0.8985
0.416,0.9036
0.416,0.9086
0.4215,0.8934
0.4215,0.8985
0.4215,0.9036
0.4215,0.9086
0.427,0.8934
0.427,0.8985
0.427,0.9036
0.427,0.9086
0.4325,0.8934
0.4325,0.8985
0.4325,0.9036
0.4325,0.9086
0.438,0.8934
0.438,0.8985
0.438,0.9036
0.438,0.9086
0.4435,0.8934
0.4435,0.8985
0.4435,0.9036
0.4435,0.9086
0.449,0.8934
0.449,0.8985
0.449,0.9036
0.449,0.9086
0.4545,0.8934
0.4545,0.8985
0.4545,0.9036
0.4545,0.9086
0.4601,0.8934
0.4601,0.8985
0.4601,0.9036
0.4601,0.9086
0.4656,0.8934
0.4656,0.8985
0.4656,0.9036
0.4656,0.9086
0.4711,0.8934
0.4711,0.8985
0.4711,0.9036
0.4711,0.9086
0.4766,0.8934
0.4766,0.8985
0.4766,0.9036
0.4766,0.9086
0.4821,0.8934
0.4821,0.8985
0.4821,0.9036
0.4821,0.9086
0.4876,0.8934
0.4876,0.8985
0.4876,0.9036
0.4876,0.9086
0.4931,0.8934
0.4931,0.8985
0.4931,0.9036
0.4931,0.9086
0.4986,0.8934
0.4986,0.8985
0.4986,0.9036
0.4986,0.9086
0.5041,0.8934
0.5041,0.8985
0.5041,0.9036
0.5041,0.9086
0.5096,0.8934
0.5096,0.8985
0.5096,0.9036
0.5096,0.9086
0.5152,0.8934
0.5152,0.8985
0.5152,0.9036
0.5152,0.9086
0.5207,0.8934
0.5207,0.8985
0.5207,0.9036
0.5207,0.9086
0.5262,0.8934
0.5262,0.8985
0.5262,0.9036
0.5262,0.9086
0.5317,0.8934
0.5317,0.8985
0.5317,0.9036
0.5317,0.9086
0.5372,0.8934
0.5372,0.8985
0.5372,0.9036
0.5372,0.9086
0.5427,0.8934
0.5427,0.8985
0.5427,0.9036
0.5427,0.9086
0.5482,0.8934
0.5482,0.8985
0.5482,0.9036
0.5482,0.9086
0.5537,0.8934
0.5537,0.8985
0.5537,0.9036
0.5537,0.9086
0.5592,0.8934
0.5592,0.8985
0.5592,0.9036
0.5592,0.9086
0.5647,0.8934
0.5647,0.8985
0.5647,0.9036
0.5647,0.9086
0.5702,0.8934
0.5702,0.8985
0.5702,0.9036
0.5702,0.9086
0.5758,0.8934
0.5758,0.8985
0.5758,0.9036
0.5758,0.9086
0.5813,0.8934
0.5813,0.8985
0.5813,0.9036
0.5813,0.9086
0.5868,0.8934
0.5868,0.8985
0.5868,0.9036
0.5868,0.9086
0.5923,0.8934
0.5923,0.8985
0.5923,0.9036
0.5923,0.9086
0.5978,0.8934
0.5978,0.8985
0.5978,0.9036
0.5978,0.9086
0.6033,0.8934
0.6033,0.8985
0.6033,0.9036
0.6033,0.9086
0.6033,0.9137
0.6088,0.8934
0.6088,0.8985
0.6088,0.9036
0.6088,0.9086
0.6088,0.9137
0.6143,0.8934
0.6143,0.8985
0.6143,0.9036
0.6143,0.9086
0.6143,0.9137
0.6198,0.8934
0.6198,0.8985
0.6198,0.9036
0.6198,0.9086
0.6198,0.9137
0.6253,0.8934
0.6253,0.8985
0.6253,0.9036
0.6253,0.9086
0.6253,0.9137
0.6309,0.8934
0.6309,0.8985
0.6309,0.9036
0.6309,0.9086
0.6309,0.9137
0.6364,0.8934
0.6364,0.8985
0.6364,0.9036
0.6364,0.9086
0.6364,0.9137
0.6419,0.8934
0.6419,0.8985
0.6419,0.9036
0.6419,0.9086
0.6419,0.9137
0.6474,0.8934
0.6474,0.8985
0.6474,0.9036
0.6474,0.9086
0.6474,0.9137
0.6529,0.8934
0.6529,0.8985
0.6529,0.9036
0.6529,0.9086
0.6529,0.9137
0.6584,0.8934
0.6584,0.8985
0.6584,0.9036
0.6584,0.9086
0.6584,0.9137
0.6639,0.8934
0.6639,0.8985
0.6639,0.9036
0.6639,0.9086
0.6639,0.9137
0.6694,0.8934
0.6694,0.8985
0.6694,0.9036
0.6694,0.9086
0.6694,0.9137
0.6749,0.8934
0.6749,0.8985
0.6749,0.9036
0.6749,0.9086
0.6749,0.9137
0.6804,0.8934
0.6804,0.8985
0.6804,0.9036
0.6804,0.9086
0.6804,0.9137
0.686,0.8934
0.686,0.8985
0.686,0.9036
0.686,0.9086
0.686,0.9137
0.6915,0.8934
0.6915,0.8985
0.6915,0.9036
0.6915,0.9086
0.6915,0.9137
0.697,0.8934
0.697,0.8985
0.697,0.9036
0.697,0.9086
0.697,0.9137
0.7025,0.8934
0.7025,0.8985
0.7025,0.9036
0.7025,0.9086
0.7025,0.9137
0.708,0.8934
0.708,0.8985
0.708,0.9036
0.708,0.9086
0.708,0.9137
0.7135,0.8934
0.7135,0.8985
0.7135,0.9036
0.7135,0.9086
0.7135,0.9137
0.719,0.8934
0.719,0.8985
0.719,0.9036
0.719,0.9086
0.719,0.9137
0.7245,0.8934
0.7245,0.8985
0.7245,0.9036
0.7245,0.9086
0.7245,0.9137
0.73,0.8934
0.73,0.8985
0.73,0.9036
0.73,0.9086
0.73,0.9137
0.7355,0.8934
0.7355,0.8985
0.7355,0.9036
0.7355,0.9086
0.7355,0.9137
0.741,0.8934
0.741,0.8985
0.741,0.9036
0.741,0.9086
0.741,0.9137
0.7466,0.8934
0.7466,0.8985
0.7466,0.9036
0.7466,0.9086
0.7466,0.9137
0.7521,0.8934
0.7521,0.8985
0.7521,0.9036
0.7521,0.9086
0.7521,0.9137
0.7576,0.8934
0.7576,0.8985
0.7576,0.9036
0.7576,0.9086
0.7576,0.9137
0.7631,0.8934
0.7631,0.8985
0.7631,0.9036
0.7631,0.9086
0.7631,0.9137
0.7686,0.8934
0.7686,0.8985
0.7686,0.9036
0.7686,0.9086
0.7686,0.9137
0.7741,0.8934
0.7741,0.8985
0.7741,0.9036
0.7741,0.9086
0.7741,0.9137
0.7796,0.8934
0.7796,0.8985
0.7796,0.9036
0.7796,0.9086
0.7796,0.9137
0.7851,0.8934
0.7851,0.8985
0.7851,0.9036
0.7851,0.9086
0.7851,0.9137
0.7906,0.8934
0.7906,0.8985
0.7906,0.9036
0.7906,0.9086
0.7906,0.9137
0.7961,0.8934
0.7961,0.8985
0.7961,0.9036
0.7961,0.9086
0.7961,0.9137
0.8017,0.8934
0.8017,0.8985
0.8017,0.9036
0.8017,0.9086
0.8017,0.9137
0.8072,0.8934
0.8072,0.8985
0.8072,0.9036
0.8072,0.9086
0.8072,0.9137
0.8127,0.8934
0.8127,0.8985
0.8127,0.9036
0.8127,0.9086
0.8127,0.9137
0.8182,0.8934
0.8182,0.8985
0.8182,0.9036
0.8182,0.9086
0.8182,0.9137
0.8237,0.8934
0.8237,0.8985
0.8237,0.9036
0.8237,0.9086
0.8237,0.9137
0.8292,0.8934
0.8292,0.8985
0.8292,0.9036
0.8292,0.9086
0.8292,0.9137
0.8347,0.8934
0.8347,0.8985
0.8347,0.9036
0.8347,0.9086
0.8347,0.9137
0.8402,0.8934
0.8402,0.8985
0.8402,0.9036
0.8402,0.9086
0.8402,0.9137
0.8457,0.8934
0.8457,0.8985
0.8457,0.9036
0.8457,0.9086
0.8457,0.9137
0.8512,0.8934
0.8512,0.8985
0.8512,0.9036
0.8512,0.9086
0.8512,0.9137
0.8567,0.8985
0.8567,0.9036
0.8567,0.9086
0.8567,0.9137
0.8623,0.8985
0.8623,0.9036
0.8623,0.9086
0.8623,0.9137
0.8678,0.8985
0.8678,0.9036
0.8678,0.9086
0.8678,0.9137
0.8733,0.8985
0.8733,0.9036
0.8733,0.9086
0.8733,0.9137
0.8788,0.8985
0.8788,0.9036
0.8788,0.9086
0.8788,0.9137
0.8843,0.8985
0.8843,0.9036
0.8843,0.9086
0.8843,0.9137
0.8898,0.8985
0.8898,0.9036
0.8898,0.9086
0.8898,0.9137
0.8953,0.8985
0.8953,0.9036
0.8953,0.9086
0.8953,0.9137
0.9008,0.8985
0.9008,0.9036
0.9008,0.9086
0.9008,0.9137
0.9063,0.8985
0.9063,0.9036
0.9063,0.9086
0.9063,0.9137
0.9118,0.8985
0.9118,0.9036
0.9118,0.9086
0.9118,0.9137
0.9174,0.8985
0.9174,0.9036
0.9174,0.9086
0.9174,0.9137
0.9229,0.8985
0.9229,0.9036
0.9229,0.9086
0.9229,0.9137
0.9284,0.8985
0.9284,0.9036
0.9284,0.9086
0.9284,0.9137
0.9339,0.8985
0.9339,0.9036
0.9339,0.9086
0.9339,0.9137
0.9394,0.8985
0.9394,0.9036
0.9394,0.9086
0.9394,0.9137
0.9449,0.8985
0.9449,0.9036
0.9449,0.9086
0.9449,0.9137
0.9504,0.8985
0.9504,0.9036
0.9504,0.9086
0.9504,0.9137
0.9559,0.8985
0.9559,0.9036
0.9559,0.9086
0.9559,0.9137
0.9614,0.8985
0.9614,0.9036
0.9614,0.9086
0.9614,0.9137
0.9669,0.8985
0.9669,0.9036
0.9669,0.9086
0.9669,0.9137
0.9725,0.8985
0.9725,0.9036
0.9725,0.9086
0.9725,0.9137
0.978,0.8985
0.978,0.9036
0.978,0.9086
0.978,0.9137
0.9835,0.8985
0.9835,0.9036
0.9835,0.9086
0.9835,0.9137
0.989,0.8934
0.989,0.8985
0.989,0.9036
0.989,0.9086
0.989,0.9137
0.9945,0.8985
0.9945,0.9036
0.9945,0.9086
