# Fig. 2d - simulated time courses, amino acids + wortmannin
# Dalle Pezze P et al. (2016) Nature Communications 7:13254. doi:10.1038/ncomms13254
# Digitized by digitize_dallepezze2016.py from a 600 dpi render of page 5.
# Both axes calibrated on their tick marks; the per-panel residuals printed by the script bound the accuracy of these values.
# value_au is the centre of the red ink in that pixel column; ink_lo_au and ink_hi_au are its extent, which is wide wherever the curve is steep and the centre is therefore not a value the figure claims.
# Values are the paper's arbitrary relative units and are not comparable between readouts.
readout,time_min,value_au,ink_lo_au,ink_hi_au
S6K_pT389,29.7558,4.10146,3.96668,4.23624
S6K_pT389,30.013,4.10146,3.96668,4.23624
S6K_pT389,30.2701,4.12393,3.96668,4.28117
S6K_pT389,30.5273,4.12393,3.96668,4.28117
S6K_pT389,30.7844,4.12393,3.96668,4.28117
S6K_pT389,31.0415,4.12393,3.96668,4.28117
S6K_pT389,31.2987,4.12393,3.96668,4.28117
S6K_pT389,31.5558,4.12393,3.96668,4.28117
S6K_pT389,31.8129,4.12393,3.96668,4.28117
S6K_pT389,32.0701,4.12393,3.96668,4.28117
S6K_pT389,32.3272,4.12393,3.96668,4.28117
S6K_pT389,32.5844,4.12393,3.96668,4.28117
S6K_pT389,32.8415,4.12393,3.96668,4.28117
S6K_pT389,33.0986,4.12393,3.96668,4.28117
S6K_pT389,33.3558,4.12393,3.96668,4.28117
S6K_pT389,33.6129,4.12393,3.96668,4.28117
S6K_pT389,33.8701,4.12393,3.96668,4.28117
S6K_pT389,34.1272,4.12393,3.96668,4.28117
S6K_pT389,34.3843,4.12393,3.96668,4.28117
S6K_pT389,34.6415,4.12393,3.96668,4.28117
S6K_pT389,34.8986,4.12393,3.96668,4.28117
S6K_pT389,35.1557,4.12393,3.96668,4.28117
S6K_pT389,35.4129,4.12393,3.96668,4.28117
S6K_pT389,35.67,4.12393,3.96668,4.28117
S6K_pT389,35.9272,4.12393,3.96668,4.28117
S6K_pT389,36.1843,4.12393,3.96668,4.28117
S6K_pT389,36.4414,4.10146,3.96668,4.23624
S6K_pT389,36.6986,4.10146,3.96668,4.23624
S6K_pT389,36.9557,4.10146,3.96668,4.23624
S6K_pT389,37.2129,4.079,3.92176,4.23624
S6K_pT389,37.47,4.079,3.92176,4.23624
S6K_pT389,37.7271,4.079,3.92176,4.23624
S6K_pT389,37.9843,4.079,3.92176,4.23624
S6K_pT389,38.2414,4.079,3.92176,4.23624
S6K_pT389,38.4985,4.079,3.92176,4.23624
S6K_pT389,38.7557,4.079,3.92176,4.23624
S6K_pT389,39.0128,4.079,3.92176,4.23624
S6K_pT389,39.27,4.079,3.92176,4.23624
S6K_pT389,39.5271,4.079,3.92176,4.23624
S6K_pT389,39.7842,4.079,3.92176,4.23624
S6K_pT389,40.0414,4.079,3.92176,4.23624
S6K_pT389,40.2985,4.079,3.92176,4.23624
S6K_pT389,40.5557,4.079,3.92176,4.23624
S6K_pT389,40.8128,4.05654,3.87683,4.23624
S6K_pT389,41.0699,4.05654,3.87683,4.23624
S6K_pT389,41.3271,4.05654,3.87683,4.23624
S6K_pT389,41.5842,4.05654,3.87683,4.23624
S6K_pT389,41.8413,4.05654,3.87683,4.23624
S6K_pT389,42.0985,4.05654,3.87683,4.23624
S6K_pT389,42.3556,4.05654,3.87683,4.23624
S6K_pT389,42.6128,4.05654,3.87683,4.23624
S6K_pT389,42.8699,4.05654,3.87683,4.23624
S6K_pT389,43.127,4.05654,3.87683,4.23624
S6K_pT389,43.3842,4.05654,3.87683,4.23624
S6K_pT389,43.6413,4.05654,3.87683,4.23624
S6K_pT389,43.8985,4.05654,3.87683,4.23624
S6K_pT389,44.1556,4.05654,3.87683,4.23624
S6K_pT389,44.4127,4.05654,3.87683,4.23624
S6K_pT389,44.6699,4.05654,3.87683,4.23624
S6K_pT389,44.927,4.05654,3.87683,4.23624
S6K_pT389,45.1841,4.05654,3.87683,4.23624
S6K_pT389,45.4413,4.079,3.92176,4.23624
S6K_pT389,45.6984,4.079,3.92176,4.23624
S6K_pT389,45.9556,4.05654,3.92176,4.19132
S6K_pT389,46.2127,4.05654,3.92176,4.19132
S6K_pT389,46.4698,4.05654,3.96668,4.14639
S6K_pT389,46.727,4.05654,3.96668,4.14639
S6K_pT389,46.9841,4.03407,3.96668,4.10146
S6K_pT389,47.2412,4.05654,4.01161,4.10146
S6K_pT389,47.4984,4.05654,4.01161,4.10146
S6K_pT389,47.7555,4.03407,3.96668,4.10146
S6K_pT389,48.0127,4.05654,3.96668,4.14639
S6K_pT389,48.2698,4.03407,3.92176,4.14639
S6K_pT389,48.5269,4.05654,3.92176,4.19132
S6K_pT389,48.7841,4.03407,3.87683,4.19132
S6K_pT389,49.0412,4.05654,3.87683,4.23624
S6K_pT389,49.2984,4.05654,3.87683,4.23624
S6K_pT389,49.5555,4.05654,3.87683,4.23624
S6K_pT389,49.8126,4.05654,3.87683,4.23624
S6K_pT389,50.0698,4.05654,3.87683,4.23624
S6K_pT389,50.3269,4.03407,3.87683,4.19132
S6K_pT389,50.584,4.03407,3.87683,4.19132
S6K_pT389,50.8412,4.03407,3.87683,4.19132
