conditionId	targetId	targetValue
cond_tlbr_0	LTconc	0.0005006902
cond_tlbr_1	LTconc	0.001362623
cond_tlbr_2	LTconc	0.0044341334
cond_tlbr_3	LTconc	0.0149210839
cond_tlbr_4	LTconc	0.0441574
cond_tlbr_5	LTconc	0.1507897315
cond_tlbr_6	LTconc	0.5013619944
cond_tlbr_7	LTconc	1.5652727704
cond_tlbr_8	LTconc	5.2257161826
cond_tlbr_9	LTconc	16.9016532291
cond_tlbr_10	LTconc	67.9604112309
cond_tlbr_11	LTconc	213.4593409505
